Bus Voltage,Power,Current
4.71 V,318.00 mW,71.90 mA
4.70 V,338.00 mW,103.40 mA
4.10 V,584.00 mW,213.90 mA
4.01 V,872.00 mW,217.10 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.30 mA
4.00 V,868.00 mW,217.30 mA
4.01 V,868.00 mW,216.40 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,217.00 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,872.00 mW,216.60 mA
4.01 V,868.00 mW,216.70 mA
4.00 V,868.00 mW,216.80 mA
4.01 V,872.00 mW,216.50 mA
4.00 V,868.00 mW,216.30 mA
4.00 V,868.00 mW,216.30 mA
4.01 V,866.00 mW,216.70 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,872.00 mW,216.60 mA
4.01 V,868.00 mW,216.90 mA
4.01 V,872.00 mW,216.20 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,868.00 mW,216.20 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.40 mA
4.01 V,872.00 mW,217.00 mA
4.01 V,872.00 mW,217.00 mA
4.01 V,872.00 mW,217.00 mA
4.01 V,872.00 mW,217.50 mA
4.01 V,868.00 mW,216.40 mA
4.01 V,868.00 mW,216.80 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.20 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,872.00 mW,216.20 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,872.00 mW,216.20 mA
4.01 V,868.00 mW,216.60 mA
4.00 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.20 mA
4.01 V,872.00 mW,216.00 mA
4.01 V,868.00 mW,216.80 mA
4.02 V,872.00 mW,216.70 mA
4.02 V,868.00 mW,216.10 mA
4.01 V,872.00 mW,216.90 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,215.30 mA
4.00 V,868.00 mW,216.80 mA
4.00 V,868.00 mW,216.60 mA
4.01 V,872.00 mW,217.30 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.50 mA
4.02 V,868.00 mW,216.60 mA
4.01 V,872.00 mW,216.50 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,216.40 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.80 mA
4.01 V,868.00 mW,216.80 mA
4.01 V,872.00 mW,216.40 mA
4.01 V,872.00 mW,216.70 mA
4.01 V,872.00 mW,216.10 mA
4.01 V,868.00 mW,216.80 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,866.00 mW,216.60 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,872.00 mW,216.70 mA
4.01 V,872.00 mW,216.90 mA
4.01 V,874.00 mW,216.50 mA
4.01 V,872.00 mW,216.70 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,216.70 mA
4.02 V,872.00 mW,216.90 mA
4.01 V,872.00 mW,216.70 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.40 mA
4.00 V,868.00 mW,216.20 mA
4.00 V,868.00 mW,216.30 mA
4.01 V,872.00 mW,216.30 mA
4.01 V,868.00 mW,217.00 mA
4.02 V,868.00 mW,216.80 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.20 mA
4.01 V,868.00 mW,216.20 mA
4.01 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.90 mA
4.01 V,872.00 mW,216.90 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,215.90 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,872.00 mW,217.10 mA
4.01 V,872.00 mW,216.40 mA
4.01 V,868.00 mW,216.40 mA
4.02 V,872.00 mW,216.60 mA
4.02 V,872.00 mW,216.80 mA
4.02 V,872.00 mW,216.30 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,868.00 mW,216.10 mA
4.01 V,866.00 mW,216.50 mA
4.02 V,868.00 mW,216.50 mA
4.02 V,868.00 mW,216.30 mA
4.02 V,872.00 mW,216.70 mA
4.02 V,874.00 mW,216.60 mA
4.02 V,872.00 mW,216.60 mA
4.01 V,868.00 mW,216.40 mA
4.01 V,868.00 mW,216.00 mA
4.01 V,868.00 mW,216.70 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,866.00 mW,216.20 mA
4.01 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,216.90 mA
4.01 V,868.00 mW,216.40 mA
4.01 V,868.00 mW,216.70 mA
4.02 V,872.00 mW,216.60 mA
4.02 V,872.00 mW,216.50 mA
4.01 V,872.00 mW,216.20 mA
4.01 V,868.00 mW,216.20 mA
4.01 V,872.00 mW,216.10 mA
4.02 V,868.00 mW,216.50 mA
4.01 V,872.00 mW,216.80 mA
4.02 V,868.00 mW,216.50 mA
4.01 V,872.00 mW,216.50 mA
4.02 V,868.00 mW,216.80 mA
4.02 V,872.00 mW,216.20 mA
4.01 V,866.00 mW,216.00 mA
4.02 V,872.00 mW,216.50 mA
4.01 V,868.00 mW,216.00 mA
4.01 V,868.00 mW,217.10 mA
4.02 V,868.00 mW,216.10 mA
4.02 V,872.00 mW,216.50 mA
4.02 V,872.00 mW,216.80 mA
4.01 V,872.00 mW,216.70 mA
4.02 V,872.00 mW,216.30 mA
4.01 V,868.00 mW,216.30 mA
4.01 V,866.00 mW,216.10 mA
4.70 V,330.00 mW,84.00 mA
4.02 V,868.00 mW,216.30 mA
4.01 V,872.00 mW,216.50 mA
4.02 V,868.00 mW,216.60 mA
4.01 V,868.00 mW,217.40 mA
4.02 V,872.00 mW,216.30 mA
4.02 V,872.00 mW,216.50 mA
4.02 V,868.00 mW,216.40 mA
4.02 V,868.00 mW,216.50 mA
4.02 V,868.00 mW,216.00 mA
4.01 V,868.00 mW,216.80 mA
4.02 V,868.00 mW,216.20 mA
4.02 V,872.00 mW,217.00 mA
4.02 V,868.00 mW,216.90 mA
4.01 V,872.00 mW,216.90 mA
4.02 V,872.00 mW,216.60 mA
4.02 V,868.00 mW,216.90 mA
4.02 V,868.00 mW,216.40 mA
4.01 V,868.00 mW,216.60 mA
4.02 V,868.00 mW,216.50 mA
4.01 V,868.00 mW,216.90 mA
4.02 V,872.00 mW,216.60 mA
4.01 V,872.00 mW,216.60 mA
4.02 V,872.00 mW,216.50 mA
4.02 V,872.00 mW,217.20 mA
4.01 V,868.00 mW,216.30 mA
4.02 V,868.00 mW,216.50 mA
4.02 V,868.00 mW,216.00 mA
4.02 V,868.00 mW,216.30 mA
4.02 V,868.00 mW,216.10 mA
4.02 V,868.00 mW,216.70 mA
4.02 V,868.00 mW,216.30 mA
4.02 V,868.00 mW,217.10 mA
