Bus Voltage,Power,Current
4.86 V,294.00 mW,66.10 mA
4.86 V,322.00 mW,65.80 mA
4.85 V,318.00 mW,67.70 mA
4.86 V,314.00 mW,65.40 mA
4.84 V,340.00 mW,70.80 mA
4.83 V,344.00 mW,72.00 mA
4.80 V,412.00 mW,86.00 mA
4.48 V,930.00 mW,207.30 mA
4.48 V,930.00 mW,208.20 mA
4.48 V,930.00 mW,208.00 mA
4.48 V,934.00 mW,208.20 mA
4.48 V,934.00 mW,207.90 mA
4.48 V,934.00 mW,208.30 mA
4.48 V,930.00 mW,207.80 mA
4.48 V,934.00 mW,207.60 mA
4.48 V,930.00 mW,207.50 mA
4.48 V,934.00 mW,208.20 mA
4.48 V,930.00 mW,208.90 mA
4.48 V,930.00 mW,207.80 mA
4.48 V,934.00 mW,207.80 mA
4.48 V,934.00 mW,208.30 mA
4.48 V,930.00 mW,207.70 mA
4.48 V,930.00 mW,207.30 mA
4.48 V,930.00 mW,207.30 mA
4.48 V,930.00 mW,207.80 mA
4.47 V,930.00 mW,207.70 mA
4.48 V,928.00 mW,207.90 mA
4.48 V,930.00 mW,208.00 mA
4.48 V,930.00 mW,207.90 mA
4.48 V,930.00 mW,208.00 mA
4.48 V,930.00 mW,209.10 mA
4.48 V,930.00 mW,207.90 mA
4.48 V,930.00 mW,207.80 mA
4.48 V,934.00 mW,207.40 mA
4.48 V,930.00 mW,207.70 mA
4.48 V,930.00 mW,208.90 mA
4.48 V,930.00 mW,208.10 mA
4.48 V,930.00 mW,208.20 mA
4.48 V,930.00 mW,208.20 mA
4.48 V,934.00 mW,207.80 mA
4.48 V,930.00 mW,207.80 mA
4.48 V,930.00 mW,207.80 mA
4.48 V,930.00 mW,208.10 mA
4.48 V,930.00 mW,207.40 mA
4.48 V,930.00 mW,208.20 mA
4.48 V,930.00 mW,208.30 mA
4.48 V,930.00 mW,208.10 mA
4.48 V,930.00 mW,207.80 mA
4.48 V,930.00 mW,207.40 mA
