Bus Voltage,Power,Current
4.80 V,364.00 mW,63.50 mA
4.80 V,304.00 mW,64.00 mA
4.80 V,304.00 mW,64.10 mA
4.80 V,302.00 mW,62.70 mA
4.78 V,322.00 mW,67.00 mA
4.66 V,394.00 mW,130.50 mA
4.44 V,666.00 mW,149.90 mA
4.44 V,666.00 mW,150.00 mA
4.44 V,666.00 mW,149.70 mA
4.43 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,150.30 mA
4.44 V,666.00 mW,150.20 mA
4.44 V,668.00 mW,149.90 mA
4.44 V,668.00 mW,150.40 mA
4.44 V,668.00 mW,150.30 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,666.00 mW,149.60 mA
4.43 V,668.00 mW,150.60 mA
4.44 V,666.00 mW,150.40 mA
4.44 V,666.00 mW,150.00 mA
4.44 V,668.00 mW,150.20 mA
4.43 V,668.00 mW,150.70 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,150.00 mA
4.43 V,668.00 mW,150.60 mA
4.44 V,668.00 mW,150.10 mA
4.43 V,666.00 mW,150.00 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,150.70 mA
4.44 V,666.00 mW,150.10 mA
4.43 V,666.00 mW,150.30 mA
4.44 V,668.00 mW,150.10 mA
4.44 V,668.00 mW,150.60 mA
4.44 V,666.00 mW,150.00 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,149.90 mA
4.44 V,666.00 mW,150.40 mA
4.44 V,666.00 mW,150.00 mA
4.43 V,666.00 mW,149.90 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,150.60 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,672.00 mW,150.20 mA
4.44 V,666.00 mW,149.80 mA
4.44 V,666.00 mW,151.40 mA
4.44 V,666.00 mW,149.90 mA
4.44 V,666.00 mW,150.20 mA
4.44 V,668.00 mW,149.80 mA
4.44 V,666.00 mW,150.20 mA
4.44 V,668.00 mW,150.60 mA
4.44 V,668.00 mW,150.30 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,150.70 mA
4.44 V,666.00 mW,149.80 mA
4.44 V,666.00 mW,149.80 mA
4.43 V,666.00 mW,143.00 mA
4.80 V,302.00 mW,63.20 mA
4.78 V,334.00 mW,69.80 mA
4.78 V,330.00 mW,83.40 mA
4.44 V,668.00 mW,150.60 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,668.00 mW,149.90 mA
4.44 V,668.00 mW,150.50 mA
4.44 V,666.00 mW,149.70 mA
4.44 V,666.00 mW,150.10 mA
4.43 V,668.00 mW,149.60 mA
4.44 V,666.00 mW,150.60 mA
4.44 V,666.00 mW,150.20 mA
4.43 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,150.40 mA
4.44 V,668.00 mW,150.50 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,150.00 mA
4.44 V,666.00 mW,149.90 mA
4.43 V,668.00 mW,150.30 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,150.30 mA
4.44 V,668.00 mW,150.10 mA
4.43 V,668.00 mW,150.70 mA
4.44 V,668.00 mW,150.30 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,149.70 mA
4.44 V,666.00 mW,150.30 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,150.10 mA
4.43 V,668.00 mW,149.90 mA
4.44 V,668.00 mW,150.60 mA
4.44 V,668.00 mW,150.40 mA
4.44 V,666.00 mW,150.30 mA
4.44 V,668.00 mW,150.80 mA
4.44 V,668.00 mW,150.40 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,666.00 mW,150.10 mA
4.44 V,668.00 mW,150.20 mA
4.43 V,666.00 mW,150.60 mA
4.44 V,666.00 mW,149.80 mA
4.44 V,668.00 mW,150.20 mA
4.44 V,668.00 mW,150.40 mA
4.44 V,668.00 mW,150.50 mA
4.44 V,668.00 mW,149.90 mA
