Bus Voltage,Power,Current
4.81 V,278.00 mW,63.80 mA
4.81 V,308.00 mW,63.40 mA
4.81 V,304.00 mW,65.20 mA
4.81 V,302.00 mW,63.80 mA
4.79 V,334.00 mW,69.70 mA
4.52 V,432.00 mW,154.80 mA
4.32 V,802.00 mW,185.70 mA
4.32 V,802.00 mW,186.10 mA
4.32 V,802.00 mW,186.20 mA
4.32 V,806.00 mW,186.50 mA
4.31 V,806.00 mW,186.80 mA
4.32 V,806.00 mW,186.50 mA
4.32 V,802.00 mW,185.60 mA
4.32 V,802.00 mW,185.80 mA
4.31 V,802.00 mW,185.90 mA
4.32 V,802.00 mW,186.00 mA
4.32 V,802.00 mW,185.90 mA
4.32 V,806.00 mW,186.80 mA
4.32 V,802.00 mW,186.30 mA
4.32 V,806.00 mW,186.50 mA
4.32 V,806.00 mW,186.20 mA
4.32 V,802.00 mW,186.10 mA
4.32 V,802.00 mW,186.00 mA
4.31 V,802.00 mW,185.40 mA
4.31 V,802.00 mW,185.40 mA
4.32 V,806.00 mW,186.30 mA
4.31 V,806.00 mW,186.10 mA
4.32 V,802.00 mW,186.20 mA
4.32 V,806.00 mW,186.20 mA
4.31 V,802.00 mW,186.50 mA
4.31 V,806.00 mW,186.50 mA
4.31 V,802.00 mW,186.10 mA
4.32 V,800.00 mW,186.30 mA
4.31 V,802.00 mW,185.60 mA
4.32 V,802.00 mW,186.30 mA
4.31 V,802.00 mW,186.10 mA
4.32 V,806.00 mW,185.90 mA
4.32 V,806.00 mW,186.50 mA
4.32 V,806.00 mW,186.10 mA
4.32 V,806.00 mW,185.70 mA
4.32 V,800.00 mW,185.90 mA
4.31 V,800.00 mW,185.60 mA
4.31 V,800.00 mW,185.80 mA
4.32 V,802.00 mW,186.20 mA
4.32 V,802.00 mW,186.10 mA
4.32 V,802.00 mW,186.00 mA
4.32 V,806.00 mW,186.60 mA
4.32 V,806.00 mW,186.70 mA
4.32 V,802.00 mW,186.00 mA
4.32 V,802.00 mW,186.50 mA
