Bus Voltage,Power,Current
4.80 V,312.00 mW,62.70 mA
4.81 V,302.00 mW,63.40 mA
4.80 V,302.00 mW,63.10 mA
4.80 V,304.00 mW,63.00 mA
4.79 V,330.00 mW,69.00 mA
4.59 V,396.00 mW,125.20 mA
4.42 V,688.00 mW,155.80 mA
4.42 V,688.00 mW,155.90 mA
4.42 V,692.00 mW,156.00 mA
4.42 V,688.00 mW,155.10 mA
4.42 V,688.00 mW,155.30 mA
4.42 V,688.00 mW,155.50 mA
4.42 V,688.00 mW,155.70 mA
4.42 V,684.00 mW,155.60 mA
4.42 V,688.00 mW,155.20 mA
4.42 V,688.00 mW,155.80 mA
4.42 V,688.00 mW,155.50 mA
4.42 V,688.00 mW,155.30 mA
4.43 V,692.00 mW,155.50 mA
4.42 V,688.00 mW,155.90 mA
4.42 V,688.00 mW,155.20 mA
4.43 V,684.00 mW,155.30 mA
4.42 V,688.00 mW,155.50 mA
4.42 V,684.00 mW,155.90 mA
4.42 V,688.00 mW,156.00 mA
4.42 V,692.00 mW,155.60 mA
4.42 V,692.00 mW,156.10 mA
4.42 V,688.00 mW,156.10 mA
4.42 V,688.00 mW,155.30 mA
4.42 V,688.00 mW,155.40 mA
4.42 V,688.00 mW,155.30 mA
4.42 V,688.00 mW,155.80 mA
4.42 V,684.00 mW,155.30 mA
4.42 V,688.00 mW,156.00 mA
4.42 V,688.00 mW,155.90 mA
4.42 V,692.00 mW,156.10 mA
4.42 V,688.00 mW,155.70 mA
4.42 V,688.00 mW,155.50 mA
4.42 V,692.00 mW,155.40 mA
4.42 V,688.00 mW,155.60 mA
4.42 V,688.00 mW,155.30 mA
4.42 V,684.00 mW,155.60 mA
4.42 V,692.00 mW,155.90 mA
4.42 V,688.00 mW,155.80 mA
4.43 V,692.00 mW,155.70 mA
4.42 V,692.00 mW,155.80 mA
4.42 V,692.00 mW,155.70 mA
4.42 V,688.00 mW,155.90 mA
4.42 V,684.00 mW,155.40 mA
4.42 V,688.00 mW,155.70 mA
4.42 V,688.00 mW,155.50 mA
