Bus Voltage,Power,Current
4.94 V,360.00 mW,63.20 mA
4.95 V,312.00 mW,63.30 mA
4.94 V,312.00 mW,63.80 mA
4.94 V,312.00 mW,63.70 mA
4.94 V,348.00 mW,70.20 mA
4.94 V,334.00 mW,69.10 mA
4.91 V,412.00 mW,83.80 mA
4.77 V,826.00 mW,174.20 mA
4.77 V,826.00 mW,173.30 mA
4.77 V,830.00 mW,173.20 mA
4.94 V,312.00 mW,63.10 mA
4.93 V,312.00 mW,66.60 mA
4.94 V,344.00 mW,69.90 mA
4.94 V,338.00 mW,70.60 mA
4.77 V,830.00 mW,173.60 mA
4.77 V,826.00 mW,174.50 mA
4.77 V,832.00 mW,173.60 mA
4.94 V,314.00 mW,63.90 mA
4.94 V,312.00 mW,63.00 mA
4.94 V,348.00 mW,70.30 mA
4.94 V,348.00 mW,68.60 mA
4.78 V,594.00 mW,173.30 mA
4.77 V,826.00 mW,173.20 mA
4.77 V,830.00 mW,173.30 mA
4.92 V,586.00 mW,63.40 mA
4.95 V,312.00 mW,62.90 mA
4.93 V,328.00 mW,68.90 mA
4.94 V,330.00 mW,70.30 mA
4.94 V,344.00 mW,69.10 mA
4.77 V,830.00 mW,173.80 mA
4.76 V,832.00 mW,174.90 mA
4.77 V,832.00 mW,174.40 mA
4.95 V,312.00 mW,62.80 mA
4.95 V,312.00 mW,62.90 mA
4.93 V,334.00 mW,68.80 mA
4.93 V,338.00 mW,70.50 mA
4.76 V,826.00 mW,173.60 mA
4.76 V,830.00 mW,173.50 mA
4.77 V,826.00 mW,173.40 mA
4.94 V,312.00 mW,63.20 mA
4.94 V,312.00 mW,63.00 mA
4.93 V,338.00 mW,70.20 mA
4.93 V,338.00 mW,70.20 mA
4.91 V,412.00 mW,84.00 mA
4.77 V,832.00 mW,174.20 mA
4.77 V,830.00 mW,174.50 mA
4.77 V,832.00 mW,174.30 mA
4.94 V,312.00 mW,63.00 mA
4.93 V,312.00 mW,70.10 mA
4.94 V,344.00 mW,70.30 mA
4.94 V,344.00 mW,70.00 mA
4.76 V,832.00 mW,173.80 mA
4.77 V,826.00 mW,173.60 mA
4.76 V,826.00 mW,174.20 mA
4.94 V,322.00 mW,62.80 mA
4.94 V,312.00 mW,63.90 mA
4.93 V,348.00 mW,69.80 mA
4.94 V,348.00 mW,70.00 mA
4.77 V,668.00 mW,172.40 mA
4.77 V,830.00 mW,174.50 mA
4.77 V,830.00 mW,174.00 mA
4.94 V,612.00 mW,63.60 mA
4.94 V,314.00 mW,65.20 mA
4.93 V,330.00 mW,68.30 mA
4.94 V,338.00 mW,70.10 mA
4.94 V,344.00 mW,68.40 mA
4.77 V,830.00 mW,173.50 mA
4.77 V,830.00 mW,173.50 mA
4.77 V,826.00 mW,173.30 mA
4.94 V,314.00 mW,63.40 mA
4.94 V,312.00 mW,62.80 mA
4.94 V,330.00 mW,68.20 mA
4.93 V,334.00 mW,70.20 mA
4.77 V,830.00 mW,174.00 mA
4.77 V,826.00 mW,174.30 mA
4.77 V,832.00 mW,173.70 mA
4.94 V,314.00 mW,63.60 mA
4.95 V,312.00 mW,63.10 mA
4.94 V,334.00 mW,67.00 mA
4.93 V,348.00 mW,69.80 mA
4.91 V,412.00 mW,83.70 mA
4.77 V,826.00 mW,173.20 mA
4.77 V,826.00 mW,173.00 mA
4.76 V,830.00 mW,174.80 mA
4.94 V,312.00 mW,63.00 mA
4.94 V,340.00 mW,70.50 mA
4.93 V,348.00 mW,70.20 mA
4.93 V,344.00 mW,70.00 mA
4.77 V,826.00 mW,173.80 mA
4.77 V,832.00 mW,174.40 mA
4.76 V,832.00 mW,174.40 mA
4.94 V,312.00 mW,63.30 mA
4.94 V,314.00 mW,62.90 mA
4.93 V,348.00 mW,70.70 mA
4.94 V,348.00 mW,69.50 mA
4.77 V,734.00 mW,172.80 mA
4.76 V,826.00 mW,173.30 mA
4.77 V,826.00 mW,174.00 mA
4.94 V,566.00 mW,63.40 mA
4.94 V,312.00 mW,63.10 mA
4.94 V,338.00 mW,68.20 mA
4.94 V,330.00 mW,70.20 mA
4.94 V,340.00 mW,67.70 mA
4.76 V,830.00 mW,174.40 mA
4.77 V,832.00 mW,174.60 mA
4.76 V,830.00 mW,173.20 mA
4.94 V,312.00 mW,62.80 mA
4.94 V,314.00 mW,63.30 mA
4.94 V,334.00 mW,67.10 mA
4.94 V,330.00 mW,69.70 mA
4.76 V,830.00 mW,173.70 mA
4.77 V,830.00 mW,173.50 mA
4.77 V,826.00 mW,174.20 mA
4.94 V,312.00 mW,63.00 mA
4.94 V,312.00 mW,63.20 mA
4.94 V,330.00 mW,67.80 mA
4.93 V,340.00 mW,67.70 mA
4.91 V,416.00 mW,83.90 mA
4.77 V,830.00 mW,174.30 mA
4.76 V,830.00 mW,173.80 mA
4.77 V,826.00 mW,174.60 mA
4.94 V,314.00 mW,63.10 mA
4.93 V,328.00 mW,69.80 mA
4.94 V,344.00 mW,69.90 mA
4.94 V,348.00 mW,70.00 mA
4.77 V,830.00 mW,173.70 mA
4.76 V,826.00 mW,172.90 mA
4.77 V,826.00 mW,174.00 mA
4.94 V,312.00 mW,63.50 mA
4.94 V,314.00 mW,62.80 mA
4.94 V,344.00 mW,70.50 mA
4.93 V,348.00 mW,70.40 mA
4.77 V,786.00 mW,174.30 mA
4.77 V,830.00 mW,173.90 mA
4.77 V,832.00 mW,173.40 mA
4.95 V,318.00 mW,63.80 mA
4.94 V,314.00 mW,63.30 mA
4.93 V,344.00 mW,67.30 mA
4.93 V,334.00 mW,69.60 mA
4.94 V,338.00 mW,67.50 mA
4.76 V,826.00 mW,173.00 mA
4.77 V,832.00 mW,174.00 mA
4.77 V,830.00 mW,174.60 mA
4.94 V,314.00 mW,63.30 mA
4.94 V,312.00 mW,63.90 mA
4.94 V,340.00 mW,67.30 mA
4.94 V,334.00 mW,68.40 mA
4.77 V,830.00 mW,173.80 mA
4.76 V,830.00 mW,173.70 mA
4.77 V,830.00 mW,174.20 mA
4.95 V,314.00 mW,63.10 mA
4.94 V,312.00 mW,63.30 mA
4.94 V,330.00 mW,68.20 mA
4.94 V,334.00 mW,66.60 mA
4.91 V,412.00 mW,83.70 mA
4.77 V,832.00 mW,174.00 mA
4.77 V,826.00 mW,174.30 mA
4.76 V,830.00 mW,173.50 mA
4.94 V,312.00 mW,64.00 mA
4.93 V,348.00 mW,70.50 mA
4.93 V,348.00 mW,70.40 mA
4.94 V,348.00 mW,70.00 mA
4.77 V,832.00 mW,174.60 mA
4.77 V,830.00 mW,174.00 mA
4.77 V,826.00 mW,173.30 mA
4.94 V,312.00 mW,62.80 mA
4.94 V,324.00 mW,63.40 mA
4.93 V,348.00 mW,69.80 mA
