Bus Voltage,Power,Current
4.85 V,368.00 mW,67.60 mA
4.86 V,318.00 mW,65.50 mA
4.86 V,314.00 mW,66.60 mA
4.86 V,318.00 mW,65.40 mA
4.84 V,348.00 mW,71.60 mA
4.84 V,348.00 mW,71.80 mA
4.80 V,422.00 mW,85.90 mA
4.56 V,750.00 mW,165.10 mA
4.56 V,750.00 mW,165.00 mA
4.55 V,754.00 mW,165.20 mA
4.56 V,754.00 mW,166.00 mA
4.56 V,750.00 mW,165.50 mA
4.56 V,754.00 mW,165.40 mA
4.56 V,754.00 mW,165.10 mA
4.56 V,754.00 mW,165.80 mA
4.55 V,750.00 mW,165.60 mA
4.56 V,750.00 mW,165.30 mA
4.55 V,750.00 mW,165.00 mA
4.55 V,750.00 mW,165.30 mA
4.55 V,750.00 mW,165.20 mA
4.56 V,754.00 mW,165.40 mA
4.56 V,754.00 mW,165.20 mA
4.56 V,754.00 mW,165.90 mA
4.56 V,756.00 mW,165.40 mA
4.55 V,750.00 mW,164.60 mA
4.56 V,754.00 mW,165.20 mA
4.55 V,756.00 mW,164.60 mA
4.56 V,754.00 mW,165.50 mA
4.55 V,750.00 mW,165.40 mA
4.56 V,756.00 mW,165.40 mA
4.56 V,754.00 mW,166.10 mA
4.56 V,754.00 mW,165.40 mA
4.56 V,754.00 mW,165.60 mA
4.55 V,754.00 mW,165.40 mA
4.55 V,750.00 mW,165.60 mA
4.56 V,750.00 mW,165.00 mA
4.56 V,750.00 mW,164.80 mA
4.55 V,750.00 mW,165.30 mA
4.55 V,754.00 mW,165.70 mA
4.56 V,754.00 mW,165.00 mA
4.56 V,754.00 mW,165.90 mA
4.55 V,754.00 mW,165.90 mA
4.55 V,756.00 mW,165.70 mA
4.56 V,750.00 mW,165.10 mA
4.55 V,750.00 mW,165.20 mA
4.56 V,754.00 mW,165.00 mA
4.55 V,754.00 mW,165.70 mA
4.56 V,754.00 mW,165.40 mA
4.56 V,754.00 mW,165.30 mA
4.56 V,754.00 mW,165.30 mA
4.56 V,754.00 mW,165.70 mA
