Bus Voltage,Power,Current
4.81 V,282.00 mW,63.10 mA
4.81 V,304.00 mW,63.50 mA
4.80 V,304.00 mW,65.10 mA
4.81 V,304.00 mW,62.80 mA
4.78 V,324.00 mW,70.70 mA
4.64 V,394.00 mW,144.10 mA
4.38 V,730.00 mW,166.70 mA
4.38 V,730.00 mW,166.30 mA
4.38 V,730.00 mW,167.10 mA
4.38 V,734.00 mW,167.00 mA
4.39 V,734.00 mW,167.20 mA
4.38 V,734.00 mW,167.50 mA
4.38 V,734.00 mW,167.50 mA
4.38 V,734.00 mW,167.50 mA
4.38 V,734.00 mW,166.80 mA
4.38 V,734.00 mW,167.00 mA
4.38 V,730.00 mW,167.20 mA
4.38 V,730.00 mW,166.80 mA
4.38 V,730.00 mW,166.90 mA
4.38 V,734.00 mW,167.00 mA
4.38 V,734.00 mW,167.50 mA
4.38 V,734.00 mW,167.10 mA
4.38 V,734.00 mW,167.20 mA
4.38 V,734.00 mW,167.20 mA
4.38 V,734.00 mW,167.10 mA
4.38 V,730.00 mW,166.80 mA
4.38 V,734.00 mW,166.80 mA
4.38 V,730.00 mW,167.20 mA
4.38 V,730.00 mW,167.10 mA
4.38 V,734.00 mW,167.40 mA
4.38 V,734.00 mW,167.10 mA
4.38 V,734.00 mW,167.40 mA
4.38 V,734.00 mW,167.50 mA
4.39 V,734.00 mW,166.90 mA
4.38 V,730.00 mW,166.80 mA
4.38 V,734.00 mW,166.90 mA
4.39 V,734.00 mW,167.10 mA
4.38 V,734.00 mW,167.30 mA
4.38 V,730.00 mW,167.10 mA
4.38 V,734.00 mW,167.80 mA
4.38 V,734.00 mW,167.40 mA
4.38 V,734.00 mW,167.30 mA
4.38 V,734.00 mW,167.20 mA
4.39 V,734.00 mW,166.90 mA
4.38 V,730.00 mW,167.60 mA
4.38 V,730.00 mW,166.40 mA
4.38 V,730.00 mW,167.10 mA
4.38 V,734.00 mW,167.40 mA
4.38 V,734.00 mW,167.50 mA
4.39 V,734.00 mW,167.40 mA
4.38 V,734.00 mW,167.80 mA
4.38 V,734.00 mW,166.70 mA
4.38 V,730.00 mW,167.00 mA
4.38 V,730.00 mW,167.10 mA
4.39 V,730.00 mW,166.80 mA
4.38 V,730.00 mW,167.30 mA
4.38 V,734.00 mW,165.30 mA
4.81 V,302.00 mW,63.30 mA
4.78 V,330.00 mW,70.40 mA
4.78 V,334.00 mW,84.00 mA
4.38 V,730.00 mW,167.20 mA
4.38 V,730.00 mW,166.90 mA
4.38 V,734.00 mW,167.20 mA
4.38 V,730.00 mW,166.80 mA
4.38 V,730.00 mW,166.80 mA
4.38 V,730.00 mW,167.60 mA
4.39 V,734.00 mW,167.30 mA
4.38 V,730.00 mW,167.30 mA
4.38 V,734.00 mW,167.50 mA
