Bus Voltage,Power,Current
4.93 V,292.00 mW,63.80 mA
4.93 V,314.00 mW,63.70 mA
4.93 V,318.00 mW,66.10 mA
4.93 V,318.00 mW,63.90 mA
4.92 V,334.00 mW,69.70 mA
4.84 V,412.00 mW,136.40 mA
4.66 V,1000.00 mW,214.80 mA
4.67 V,1002.00 mW,215.10 mA
4.66 V,1000.00 mW,215.70 mA
4.66 V,1002.00 mW,215.20 mA
4.66 V,1006.00 mW,215.00 mA
4.66 V,1002.00 mW,214.70 mA
4.66 V,1002.00 mW,214.90 mA
4.66 V,1002.00 mW,214.80 mA
4.66 V,1002.00 mW,215.70 mA
4.66 V,1006.00 mW,215.70 mA
4.67 V,1002.00 mW,215.40 mA
4.66 V,1002.00 mW,215.10 mA
4.66 V,1002.00 mW,215.30 mA
4.66 V,1002.00 mW,215.30 mA
4.66 V,1000.00 mW,214.80 mA
4.67 V,1006.00 mW,215.00 mA
4.67 V,1010.00 mW,215.30 mA
4.67 V,1006.00 mW,215.70 mA
4.66 V,1002.00 mW,214.90 mA
4.66 V,1002.00 mW,214.80 mA
4.67 V,1002.00 mW,214.80 mA
4.66 V,1002.00 mW,215.00 mA
4.67 V,1006.00 mW,215.50 mA
4.66 V,1002.00 mW,215.30 mA
4.67 V,1002.00 mW,215.10 mA
4.67 V,1002.00 mW,215.20 mA
4.66 V,1002.00 mW,214.30 mA
4.66 V,1002.00 mW,214.20 mA
4.67 V,1006.00 mW,215.00 mA
4.66 V,1002.00 mW,215.20 mA
4.66 V,1006.00 mW,214.90 mA
4.66 V,1002.00 mW,214.30 mA
4.67 V,1002.00 mW,214.50 mA
4.66 V,1002.00 mW,214.20 mA
4.66 V,1002.00 mW,215.30 mA
4.66 V,1002.00 mW,214.90 mA
4.67 V,1006.00 mW,214.70 mA
4.67 V,1002.00 mW,215.10 mA
4.66 V,1006.00 mW,215.10 mA
4.66 V,1002.00 mW,214.90 mA
4.66 V,1002.00 mW,214.80 mA
