Bus Voltage,Power,Current
4.81 V,278.00 mW,63.30 mA
4.80 V,308.00 mW,63.10 mA
4.80 V,304.00 mW,65.10 mA
4.80 V,304.00 mW,63.00 mA
4.78 V,328.00 mW,70.20 mA
4.61 V,394.00 mW,136.50 mA
4.43 V,676.00 mW,152.90 mA
4.44 V,678.00 mW,152.70 mA
4.42 V,676.00 mW,153.10 mA
4.42 V,676.00 mW,153.20 mA
4.43 V,678.00 mW,152.70 mA
4.43 V,678.00 mW,153.30 mA
4.43 V,678.00 mW,153.70 mA
4.43 V,678.00 mW,153.40 mA
4.43 V,676.00 mW,153.10 mA
4.42 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.40 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,153.00 mA
4.42 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,153.60 mA
4.43 V,678.00 mW,153.10 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,676.00 mW,153.20 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,152.80 mA
4.43 V,676.00 mW,153.00 mA
4.43 V,678.00 mW,153.50 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,682.00 mW,153.40 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,152.70 mA
4.43 V,678.00 mW,152.80 mA
4.43 V,678.00 mW,152.40 mA
4.43 V,676.00 mW,153.30 mA
4.43 V,676.00 mW,153.40 mA
4.44 V,678.00 mW,153.30 mA
4.43 V,678.00 mW,153.50 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.80 mA
4.43 V,678.00 mW,152.60 mA
4.43 V,678.00 mW,153.30 mA
4.42 V,678.00 mW,152.90 mA
4.43 V,676.00 mW,152.50 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,153.10 mA
4.42 V,678.00 mW,153.60 mA
4.43 V,682.00 mW,153.30 mA
4.43 V,678.00 mW,153.30 mA
4.42 V,682.00 mW,153.70 mA
4.43 V,682.00 mW,153.00 mA
4.43 V,678.00 mW,152.60 mA
4.42 V,678.00 mW,152.50 mA
4.43 V,678.00 mW,153.10 mA
4.42 V,678.00 mW,153.60 mA
4.80 V,302.00 mW,62.90 mA
4.79 V,324.00 mW,70.00 mA
4.78 V,328.00 mW,84.10 mA
4.43 V,678.00 mW,153.50 mA
4.43 V,678.00 mW,152.80 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,153.40 mA
4.43 V,676.00 mW,152.70 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.50 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.30 mA
4.43 V,682.00 mW,153.30 mA
4.43 V,676.00 mW,153.40 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,152.70 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,682.00 mW,153.60 mA
4.43 V,678.00 mW,153.90 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,152.60 mA
4.43 V,678.00 mW,153.40 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,676.00 mW,153.20 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,682.00 mW,153.20 mA
4.43 V,678.00 mW,153.60 mA
4.44 V,678.00 mW,153.10 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,153.30 mA
4.43 V,682.00 mW,152.80 mA
4.43 V,678.00 mW,153.10 mA
4.43 V,682.00 mW,153.20 mA
4.43 V,678.00 mW,153.30 mA
4.43 V,678.00 mW,153.30 mA
4.43 V,682.00 mW,153.10 mA
4.42 V,678.00 mW,153.00 mA
4.42 V,678.00 mW,153.60 mA
4.42 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,152.90 mA
4.43 V,678.00 mW,153.10 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.30 mA
4.43 V,678.00 mW,153.10 mA
4.43 V,682.00 mW,153.50 mA
4.43 V,682.00 mW,152.90 mA
4.43 V,678.00 mW,153.10 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.20 mA
4.80 V,302.00 mW,65.30 mA
4.80 V,302.00 mW,63.00 mA
4.78 V,324.00 mW,69.70 mA
4.43 V,678.00 mW,153.60 mA
4.44 V,678.00 mW,153.20 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,682.00 mW,153.70 mA
4.43 V,678.00 mW,153.10 mA
4.44 V,678.00 mW,152.60 mA
4.43 V,676.00 mW,152.90 mA
4.43 V,678.00 mW,152.80 mA
4.43 V,676.00 mW,153.40 mA
4.44 V,678.00 mW,153.20 mA
4.43 V,682.00 mW,153.40 mA
4.43 V,678.00 mW,153.50 mA
4.43 V,678.00 mW,153.50 mA
4.43 V,678.00 mW,152.80 mA
4.43 V,678.00 mW,152.60 mA
4.43 V,678.00 mW,153.20 mA
4.42 V,676.00 mW,152.80 mA
4.42 V,678.00 mW,152.80 mA
4.43 V,678.00 mW,153.40 mA
4.43 V,682.00 mW,153.40 mA
4.43 V,678.00 mW,153.70 mA
4.43 V,678.00 mW,153.30 mA
4.44 V,682.00 mW,153.10 mA
4.43 V,682.00 mW,153.00 mA
4.43 V,678.00 mW,152.80 mA
4.43 V,676.00 mW,152.90 mA
4.43 V,678.00 mW,153.00 mA
4.43 V,678.00 mW,153.20 mA
4.43 V,682.00 mW,153.30 mA
4.43 V,678.00 mW,153.20 mA
