Bus Voltage,Power,Current
4.80 V,282.00 mW,63.90 mA
4.80 V,308.00 mW,64.20 mA
4.80 V,302.00 mW,64.70 mA
4.81 V,304.00 mW,63.60 mA
4.78 V,324.00 mW,69.90 mA
4.63 V,396.00 mW,141.30 mA
4.40 V,714.00 mW,162.60 mA
4.40 V,712.00 mW,162.50 mA
4.40 V,712.00 mW,162.50 mA
4.40 V,714.00 mW,161.70 mA
4.40 V,714.00 mW,162.50 mA
4.40 V,714.00 mW,162.90 mA
4.40 V,718.00 mW,162.80 mA
4.40 V,714.00 mW,162.70 mA
4.40 V,714.00 mW,162.70 mA
4.40 V,712.00 mW,162.00 mA
4.40 V,712.00 mW,162.00 mA
4.40 V,714.00 mW,162.10 mA
4.40 V,714.00 mW,162.10 mA
4.40 V,718.00 mW,162.70 mA
4.40 V,718.00 mW,162.30 mA
4.40 V,714.00 mW,162.20 mA
4.40 V,714.00 mW,162.50 mA
4.39 V,714.00 mW,161.70 mA
4.40 V,714.00 mW,162.30 mA
4.39 V,714.00 mW,162.10 mA
4.40 V,714.00 mW,162.60 mA
4.40 V,712.00 mW,162.40 mA
4.40 V,714.00 mW,162.60 mA
4.40 V,718.00 mW,162.50 mA
4.40 V,718.00 mW,162.80 mA
4.40 V,718.00 mW,162.80 mA
4.40 V,714.00 mW,162.40 mA
4.40 V,714.00 mW,162.30 mA
4.40 V,714.00 mW,163.00 mA
4.40 V,714.00 mW,162.30 mA
4.40 V,714.00 mW,162.10 mA
4.40 V,714.00 mW,162.30 mA
4.40 V,714.00 mW,162.60 mA
4.40 V,718.00 mW,162.60 mA
4.40 V,714.00 mW,162.20 mA
4.40 V,714.00 mW,162.20 mA
4.40 V,714.00 mW,162.40 mA
4.40 V,712.00 mW,162.30 mA
4.39 V,712.00 mW,162.10 mA
4.40 V,714.00 mW,161.90 mA
4.40 V,718.00 mW,162.80 mA
4.40 V,714.00 mW,162.20 mA
4.40 V,718.00 mW,162.50 mA
4.40 V,718.00 mW,162.60 mA
4.40 V,714.00 mW,162.50 mA
4.40 V,714.00 mW,162.70 mA
4.40 V,714.00 mW,162.00 mA
4.40 V,712.00 mW,162.00 mA
4.39 V,714.00 mW,162.60 mA
4.40 V,712.00 mW,162.80 mA
4.39 V,714.00 mW,161.20 mA
4.81 V,304.00 mW,63.60 mA
4.78 V,328.00 mW,70.50 mA
4.78 V,324.00 mW,83.40 mA
4.40 V,714.00 mW,163.00 mA
4.40 V,714.00 mW,162.30 mA
