Bus Voltage,Power,Current
4.84 V,294.00 mW,68.70 mA
4.82 V,338.00 mW,70.20 mA
4.71 V,344.00 mW,111.80 mA
4.58 V,662.00 mW,144.80 mA
4.59 V,668.00 mW,144.00 mA
4.59 V,662.00 mW,144.50 mA
4.58 V,668.00 mW,144.50 mA
4.58 V,658.00 mW,143.60 mA
4.58 V,662.00 mW,144.00 mA
4.58 V,662.00 mW,144.50 mA
4.58 V,668.00 mW,143.90 mA
4.58 V,658.00 mW,144.10 mA
4.58 V,668.00 mW,144.50 mA
4.58 V,662.00 mW,145.00 mA
4.58 V,666.00 mW,144.90 mA
4.82 V,328.00 mW,70.00 mA
4.58 V,662.00 mW,145.40 mA
4.58 V,662.00 mW,143.90 mA
4.58 V,658.00 mW,144.80 mA
4.58 V,658.00 mW,143.90 mA
4.58 V,662.00 mW,144.70 mA
4.58 V,662.00 mW,145.40 mA
4.58 V,666.00 mW,145.30 mA
4.58 V,662.00 mW,144.40 mA
4.58 V,666.00 mW,145.20 mA
4.58 V,662.00 mW,144.60 mA
4.58 V,662.00 mW,145.20 mA
4.58 V,658.00 mW,143.80 mA
4.81 V,368.00 mW,72.40 mA
4.58 V,662.00 mW,143.80 mA
4.58 V,658.00 mW,144.40 mA
4.58 V,662.00 mW,144.00 mA
4.58 V,658.00 mW,145.60 mA
4.58 V,666.00 mW,144.70 mA
4.58 V,662.00 mW,145.10 mA
4.58 V,666.00 mW,144.50 mA
4.58 V,666.00 mW,145.50 mA
4.58 V,662.00 mW,144.00 mA
4.58 V,658.00 mW,144.10 mA
4.58 V,662.00 mW,143.60 mA
4.58 V,662.00 mW,144.50 mA
4.70 V,642.00 mW,76.00 mA
4.58 V,658.00 mW,144.60 mA
4.58 V,666.00 mW,144.40 mA
4.58 V,662.00 mW,144.70 mA
4.58 V,666.00 mW,144.40 mA
4.58 V,662.00 mW,144.00 mA
4.58 V,666.00 mW,143.80 mA
4.58 V,658.00 mW,144.60 mA
4.58 V,666.00 mW,144.20 mA
4.58 V,658.00 mW,144.00 mA
4.58 V,666.00 mW,144.00 mA
4.58 V,658.00 mW,144.90 mA
4.58 V,668.00 mW,144.50 mA
4.62 V,668.00 mW,121.90 mA
4.58 V,666.00 mW,144.10 mA
4.58 V,662.00 mW,144.70 mA
4.57 V,666.00 mW,144.20 mA
4.58 V,658.00 mW,144.00 mA
4.58 V,662.00 mW,143.70 mA
4.57 V,658.00 mW,144.80 mA
4.57 V,626.00 mW,144.50 mA
4.58 V,658.00 mW,144.30 mA
4.57 V,668.00 mW,145.00 mA
4.58 V,662.00 mW,144.80 mA
4.57 V,658.00 mW,144.30 mA
4.57 V,658.00 mW,143.70 mA
4.56 V,666.00 mW,129.70 mA
4.57 V,662.00 mW,144.50 mA
4.56 V,666.00 mW,144.30 mA
4.58 V,658.00 mW,144.00 mA
4.57 V,662.00 mW,144.50 mA
4.57 V,658.00 mW,145.00 mA
4.56 V,666.00 mW,145.00 mA
4.59 V,610.00 mW,144.90 mA
4.57 V,662.00 mW,144.80 mA
4.57 V,662.00 mW,144.60 mA
4.56 V,658.00 mW,144.70 mA
4.57 V,656.00 mW,143.60 mA
4.56 V,662.00 mW,144.30 mA
4.56 V,658.00 mW,145.60 mA
4.56 V,656.00 mW,145.30 mA
4.57 V,662.00 mW,144.70 mA
4.56 V,662.00 mW,145.10 mA
4.56 V,662.00 mW,145.00 mA
4.56 V,658.00 mW,144.80 mA
4.56 V,658.00 mW,144.10 mA
4.59 V,494.00 mW,144.00 mA
4.56 V,656.00 mW,144.20 mA
4.55 V,658.00 mW,144.50 mA
4.55 V,656.00 mW,143.70 mA
4.55 V,658.00 mW,144.60 mA
4.55 V,658.00 mW,144.90 mA
4.52 V,656.00 mW,146.80 mA
4.53 V,656.00 mW,144.20 mA
4.52 V,656.00 mW,144.70 mA
4.52 V,652.00 mW,143.90 mA
4.52 V,648.00 mW,144.30 mA
4.51 V,652.00 mW,144.10 mA
4.52 V,656.00 mW,144.30 mA
4.52 V,478.00 mW,138.10 mA
4.50 V,646.00 mW,145.80 mA
4.50 V,652.00 mW,144.30 mA
4.50 V,652.00 mW,145.40 mA
4.50 V,648.00 mW,144.70 mA
4.50 V,652.00 mW,145.40 mA
4.50 V,648.00 mW,143.40 mA
4.50 V,648.00 mW,145.50 mA
4.51 V,648.00 mW,144.30 mA
4.50 V,648.00 mW,144.60 mA
4.50 V,648.00 mW,144.10 mA
4.50 V,648.00 mW,146.10 mA
4.51 V,652.00 mW,144.20 mA
4.66 V,396.00 mW,135.60 mA
4.51 V,652.00 mW,144.50 mA
4.51 V,656.00 mW,144.70 mA
4.52 V,648.00 mW,144.40 mA
4.51 V,648.00 mW,145.10 mA
4.51 V,648.00 mW,143.70 mA
4.50 V,652.00 mW,144.90 mA
4.51 V,652.00 mW,144.20 mA
4.51 V,656.00 mW,145.90 mA
4.51 V,652.00 mW,144.50 mA
4.51 V,652.00 mW,145.60 mA
4.52 V,652.00 mW,144.50 mA
4.51 V,648.00 mW,145.40 mA
4.68 V,330.00 mW,106.70 mA
4.50 V,652.00 mW,144.80 mA
4.51 V,648.00 mW,144.20 mA
4.51 V,648.00 mW,145.30 mA
4.51 V,648.00 mW,144.20 mA
4.51 V,652.00 mW,145.80 mA
4.51 V,652.00 mW,145.10 mA
4.51 V,652.00 mW,145.50 mA
4.52 V,652.00 mW,144.40 mA
4.51 V,652.00 mW,144.90 mA
4.51 V,648.00 mW,144.30 mA
4.52 V,648.00 mW,145.10 mA
4.51 V,648.00 mW,143.50 mA
4.78 V,338.00 mW,105.30 mA
4.51 V,652.00 mW,144.60 mA
4.52 V,656.00 mW,146.10 mA
4.51 V,652.00 mW,144.10 mA
4.51 V,652.00 mW,146.10 mA
4.52 V,652.00 mW,144.90 mA
4.51 V,652.00 mW,145.20 mA
4.51 V,648.00 mW,143.60 mA
4.51 V,652.00 mW,145.20 mA
4.51 V,652.00 mW,143.80 mA
4.51 V,648.00 mW,144.50 mA
4.51 V,648.00 mW,144.80 mA
4.51 V,656.00 mW,145.60 mA
4.78 V,340.00 mW,70.90 mA
4.51 V,648.00 mW,144.50 mA
4.51 V,656.00 mW,144.10 mA
4.51 V,652.00 mW,144.60 mA
4.51 V,656.00 mW,143.90 mA
4.51 V,648.00 mW,143.40 mA
4.51 V,652.00 mW,143.60 mA
4.51 V,652.00 mW,144.60 mA
4.51 V,652.00 mW,144.80 mA
4.52 V,648.00 mW,144.40 mA
4.52 V,656.00 mW,144.20 mA
4.51 V,652.00 mW,144.70 mA
4.52 V,658.00 mW,144.40 mA
4.79 V,338.00 mW,70.20 mA
4.52 V,656.00 mW,143.60 mA
4.52 V,652.00 mW,144.30 mA
4.52 V,652.00 mW,144.40 mA
4.52 V,648.00 mW,144.10 mA
4.51 V,656.00 mW,144.60 mA
4.52 V,656.00 mW,144.80 mA
4.52 V,652.00 mW,145.20 mA
4.52 V,652.00 mW,144.50 mA
4.52 V,658.00 mW,145.20 mA
4.52 V,656.00 mW,144.10 mA
4.51 V,648.00 mW,144.80 mA
4.52 V,648.00 mW,143.90 mA
4.78 V,328.00 mW,70.30 mA
4.52 V,652.00 mW,144.30 mA
4.52 V,648.00 mW,145.70 mA
4.52 V,652.00 mW,144.10 mA
4.52 V,652.00 mW,145.10 mA
4.53 V,656.00 mW,144.70 mA
4.53 V,656.00 mW,145.80 mA
4.53 V,656.00 mW,144.10 mA
4.52 V,652.00 mW,144.80 mA
4.52 V,652.00 mW,144.00 mA
4.52 V,648.00 mW,145.40 mA
4.52 V,652.00 mW,143.70 mA
4.53 V,656.00 mW,145.70 mA
4.80 V,374.00 mW,71.10 mA
4.53 V,652.00 mW,144.60 mA
4.53 V,658.00 mW,144.30 mA
4.53 V,656.00 mW,144.80 mA
4.53 V,658.00 mW,144.10 mA
4.52 V,652.00 mW,143.20 mA
4.52 V,656.00 mW,143.60 mA
4.53 V,656.00 mW,144.30 mA
4.52 V,656.00 mW,144.00 mA
4.53 V,652.00 mW,144.60 mA
4.53 V,662.00 mW,144.40 mA
4.52 V,656.00 mW,145.30 mA
4.52 V,656.00 mW,144.30 mA
4.65 V,540.00 mW,75.90 mA
4.52 V,656.00 mW,144.40 mA
4.52 V,652.00 mW,144.40 mA
4.51 V,652.00 mW,144.10 mA
4.52 V,648.00 mW,143.70 mA
4.52 V,656.00 mW,144.40 mA
4.52 V,652.00 mW,144.50 mA
4.52 V,656.00 mW,144.90 mA
4.53 V,656.00 mW,144.50 mA
4.52 V,658.00 mW,144.90 mA
4.52 V,652.00 mW,144.80 mA
4.52 V,652.00 mW,144.80 mA
4.53 V,648.00 mW,143.90 mA
4.55 V,658.00 mW,124.80 mA
4.52 V,652.00 mW,144.00 mA
4.51 V,648.00 mW,144.60 mA
4.52 V,652.00 mW,144.20 mA
4.53 V,656.00 mW,145.20 mA
4.52 V,652.00 mW,144.50 mA
4.52 V,652.00 mW,145.00 mA
4.52 V,616.00 mW,144.20 mA
4.52 V,658.00 mW,143.80 mA
4.52 V,648.00 mW,144.10 mA
4.52 V,652.00 mW,144.50 mA
4.52 V,648.00 mW,144.00 mA
4.52 V,656.00 mW,144.50 mA
4.52 V,652.00 mW,131.70 mA
4.52 V,652.00 mW,145.00 mA
4.52 V,656.00 mW,144.60 mA
4.52 V,656.00 mW,145.50 mA
4.53 V,656.00 mW,144.20 mA
4.52 V,652.00 mW,144.20 mA
4.52 V,652.00 mW,144.00 mA
4.52 V,596.00 mW,145.10 mA
4.52 V,652.00 mW,144.10 mA
4.52 V,652.00 mW,145.60 mA
4.52 V,648.00 mW,143.60 mA
4.52 V,656.00 mW,145.30 mA
4.53 V,656.00 mW,144.60 mA
4.52 V,656.00 mW,147.30 mA
4.53 V,652.00 mW,144.20 mA
4.52 V,656.00 mW,144.50 mA
4.53 V,652.00 mW,144.00 mA
4.53 V,652.00 mW,144.70 mA
4.54 V,652.00 mW,144.40 mA
4.52 V,656.00 mW,145.00 mA
4.56 V,566.00 mW,144.00 mA
4.53 V,656.00 mW,145.30 mA
4.53 V,652.00 mW,144.20 mA
4.52 V,656.00 mW,145.10 mA
4.53 V,652.00 mW,144.90 mA
4.53 V,652.00 mW,145.20 mA
4.53 V,652.00 mW,146.00 mA
4.53 V,656.00 mW,145.00 mA
4.53 V,652.00 mW,144.30 mA
4.52 V,652.00 mW,145.40 mA
4.53 V,652.00 mW,144.70 mA
4.53 V,656.00 mW,145.70 mA
4.53 V,656.00 mW,144.40 mA
4.58 V,472.00 mW,139.30 mA
4.53 V,656.00 mW,144.40 mA
4.52 V,652.00 mW,145.30 mA
4.52 V,652.00 mW,143.80 mA
4.52 V,652.00 mW,145.00 mA
4.52 V,652.00 mW,144.20 mA
4.52 V,652.00 mW,146.20 mA
4.52 V,656.00 mW,144.80 mA
4.52 V,656.00 mW,146.00 mA
4.52 V,656.00 mW,144.10 mA
4.52 V,656.00 mW,145.70 mA
4.52 V,656.00 mW,144.50 mA
4.52 V,652.00 mW,145.70 mA
4.66 V,376.00 mW,133.40 mA
4.52 V,652.00 mW,145.30 mA
4.52 V,652.00 mW,143.70 mA
4.52 V,652.00 mW,145.70 mA
4.53 V,652.00 mW,144.30 mA
4.52 V,656.00 mW,145.60 mA
4.52 V,656.00 mW,144.30 mA
4.52 V,656.00 mW,145.30 mA
4.52 V,656.00 mW,143.70 mA
4.52 V,656.00 mW,144.60 mA
4.52 V,656.00 mW,144.00 mA
4.52 V,652.00 mW,144.70 mA
4.52 V,652.00 mW,144.00 mA
4.70 V,338.00 mW,106.80 mA
4.52 V,656.00 mW,144.70 mA
4.52 V,652.00 mW,146.10 mA
4.52 V,656.00 mW,144.50 mA
4.52 V,652.00 mW,145.50 mA
4.52 V,656.00 mW,144.10 mA
4.52 V,648.00 mW,145.00 mA
4.52 V,648.00 mW,143.90 mA
4.52 V,652.00 mW,145.20 mA
4.52 V,652.00 mW,144.00 mA
4.52 V,648.00 mW,145.10 mA
4.52 V,656.00 mW,144.30 mA
4.52 V,656.00 mW,145.80 mA
4.77 V,340.00 mW,104.20 mA
4.52 V,652.00 mW,144.60 mA
4.52 V,656.00 mW,143.70 mA
4.52 V,652.00 mW,144.70 mA
4.52 V,656.00 mW,144.00 mA
4.53 V,652.00 mW,144.00 mA
4.53 V,656.00 mW,144.30 mA
4.53 V,656.00 mW,145.10 mA
4.53 V,658.00 mW,144.60 mA
4.53 V,652.00 mW,144.60 mA
4.53 V,658.00 mW,144.30 mA
4.53 V,656.00 mW,145.20 mA
4.53 V,658.00 mW,144.00 mA
4.79 V,334.00 mW,91.10 mA
4.52 V,656.00 mW,144.20 mA
4.52 V,652.00 mW,144.40 mA
4.52 V,658.00 mW,144.30 mA
4.52 V,652.00 mW,143.90 mA
4.52 V,658.00 mW,144.30 mA
4.52 V,652.00 mW,144.90 mA
4.52 V,662.00 mW,145.80 mA
4.52 V,652.00 mW,144.20 mA
4.52 V,658.00 mW,144.00 mA
4.52 V,652.00 mW,144.20 mA
4.52 V,656.00 mW,144.40 mA
4.52 V,652.00 mW,143.90 mA
4.79 V,338.00 mW,70.30 mA
4.52 V,652.00 mW,144.50 mA
4.52 V,652.00 mW,146.10 mA
4.52 V,656.00 mW,144.30 mA
4.52 V,656.00 mW,145.30 mA
4.52 V,656.00 mW,144.20 mA
4.52 V,652.00 mW,145.20 mA
4.53 V,652.00 mW,144.20 mA
4.52 V,652.00 mW,144.50 mA
4.52 V,656.00 mW,144.00 mA
4.53 V,652.00 mW,145.60 mA
4.53 V,652.00 mW,144.20 mA
4.52 V,656.00 mW,145.50 mA
4.78 V,350.00 mW,70.70 mA
4.53 V,656.00 mW,145.30 mA
4.52 V,652.00 mW,144.20 mA
4.52 V,656.00 mW,145.00 mA
4.52 V,652.00 mW,143.80 mA
4.52 V,648.00 mW,144.20 mA
4.52 V,652.00 mW,143.90 mA
4.52 V,652.00 mW,145.30 mA
4.53 V,652.00 mW,144.80 mA
4.53 V,652.00 mW,144.60 mA
4.53 V,658.00 mW,144.30 mA
4.53 V,656.00 mW,145.00 mA
4.52 V,658.00 mW,144.40 mA
4.80 V,390.00 mW,69.50 mA
4.52 V,656.00 mW,143.90 mA
4.53 V,652.00 mW,144.40 mA
4.52 V,656.00 mW,144.50 mA
4.53 V,652.00 mW,143.90 mA
4.52 V,656.00 mW,144.00 mA
4.52 V,656.00 mW,145.00 mA
4.53 V,658.00 mW,144.60 mA
4.53 V,652.00 mW,144.70 mA
4.53 V,658.00 mW,144.60 mA
4.53 V,656.00 mW,144.30 mA
4.52 V,658.00 mW,144.00 mA
4.53 V,648.00 mW,144.00 mA
4.65 V,558.00 mW,75.00 mA
4.53 V,652.00 mW,144.60 mA
4.52 V,652.00 mW,145.40 mA
4.52 V,652.00 mW,144.20 mA
4.53 V,656.00 mW,145.50 mA
4.53 V,656.00 mW,144.40 mA
4.52 V,652.00 mW,145.90 mA
4.53 V,652.00 mW,143.70 mA
4.53 V,652.00 mW,144.80 mA
4.53 V,652.00 mW,144.60 mA
4.52 V,652.00 mW,146.00 mA
4.53 V,648.00 mW,143.70 mA
4.52 V,656.00 mW,145.50 mA
4.55 V,658.00 mW,126.00 mA
4.53 V,656.00 mW,146.20 mA
4.53 V,652.00 mW,144.20 mA
4.53 V,656.00 mW,145.50 mA
4.53 V,656.00 mW,144.60 mA
4.52 V,648.00 mW,145.00 mA
4.53 V,652.00 mW,144.30 mA
4.52 V,648.00 mW,145.20 mA
4.53 V,652.00 mW,144.50 mA
4.53 V,652.00 mW,145.70 mA
4.53 V,652.00 mW,144.60 mA
4.52 V,656.00 mW,145.50 mA
4.53 V,656.00 mW,144.40 mA
4.54 V,652.00 mW,134.70 mA
4.54 V,652.00 mW,144.60 mA
4.53 V,656.00 mW,145.00 mA
4.53 V,652.00 mW,144.20 mA
4.53 V,652.00 mW,145.70 mA
4.53 V,652.00 mW,143.80 mA
4.53 V,656.00 mW,145.60 mA
4.53 V,594.00 mW,144.50 mA
4.53 V,652.00 mW,145.80 mA
4.53 V,652.00 mW,144.40 mA
4.53 V,656.00 mW,145.40 mA
4.53 V,656.00 mW,144.10 mA
4.53 V,652.00 mW,145.50 mA
4.53 V,656.00 mW,137.20 mA
4.53 V,656.00 mW,145.20 mA
4.53 V,656.00 mW,144.40 mA
4.53 V,656.00 mW,145.80 mA
4.53 V,656.00 mW,144.60 mA
4.53 V,656.00 mW,145.10 mA
4.53 V,656.00 mW,144.80 mA
4.57 V,564.00 mW,145.40 mA
