Bus Voltage,Power,Current
4.50 V,704.00 mW,156.10 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,708.00 mW,156.00 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,708.00 mW,156.10 mA
4.50 V,702.00 mW,155.40 mA
4.81 V,344.00 mW,86.60 mA
4.50 V,698.00 mW,155.70 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,155.60 mA
4.50 V,702.00 mW,156.20 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,702.00 mW,156.80 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,698.00 mW,156.40 mA
4.50 V,698.00 mW,155.20 mA
4.49 V,702.00 mW,156.30 mA
4.81 V,338.00 mW,70.30 mA
4.50 V,698.00 mW,157.10 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,157.10 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,157.60 mA
4.50 V,702.00 mW,155.10 mA
4.50 V,698.00 mW,156.90 mA
4.50 V,698.00 mW,155.80 mA
4.50 V,698.00 mW,156.60 mA
4.50 V,698.00 mW,155.30 mA
4.50 V,702.00 mW,156.90 mA
4.50 V,704.00 mW,156.10 mA
4.81 V,348.00 mW,72.00 mA
4.50 V,708.00 mW,156.00 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,704.00 mW,155.80 mA
4.50 V,702.00 mW,154.90 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,698.00 mW,155.90 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,698.00 mW,155.70 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,704.00 mW,157.20 mA
4.50 V,708.00 mW,155.90 mA
4.50 V,702.00 mW,156.00 mA
4.82 V,360.00 mW,71.70 mA
4.50 V,698.00 mW,155.60 mA
4.49 V,704.00 mW,155.20 mA
4.50 V,702.00 mW,155.50 mA
4.49 V,702.00 mW,155.70 mA
4.50 V,698.00 mW,155.30 mA
4.50 V,704.00 mW,156.00 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,704.00 mW,156.00 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,704.00 mW,156.40 mA
4.50 V,698.00 mW,155.10 mA
4.50 V,702.00 mW,155.60 mA
4.80 V,584.00 mW,75.50 mA
4.50 V,698.00 mW,157.10 mA
4.50 V,698.00 mW,155.10 mA
4.50 V,702.00 mW,156.90 mA
4.50 V,704.00 mW,156.40 mA
4.50 V,698.00 mW,157.50 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,702.00 mW,156.70 mA
