Bus Voltage,Power,Current
4.83 V,282.00 mW,68.00 mA
4.82 V,334.00 mW,70.90 mA
4.70 V,340.00 mW,110.70 mA
4.60 V,652.00 mW,143.40 mA
4.61 V,656.00 mW,141.90 mA
4.60 V,656.00 mW,143.50 mA
4.60 V,656.00 mW,142.20 mA
4.60 V,652.00 mW,142.80 mA
4.60 V,648.00 mW,140.90 mA
4.59 V,652.00 mW,142.40 mA
4.59 V,652.00 mW,141.40 mA
4.59 V,648.00 mW,142.00 mA
4.60 V,648.00 mW,142.00 mA
4.59 V,656.00 mW,142.90 mA
4.60 V,652.00 mW,142.10 mA
4.82 V,328.00 mW,70.60 mA
4.60 V,656.00 mW,142.20 mA
4.59 V,656.00 mW,142.30 mA
4.60 V,658.00 mW,141.00 mA
4.59 V,648.00 mW,141.10 mA
4.59 V,652.00 mW,141.10 mA
4.59 V,648.00 mW,141.70 mA
4.59 V,656.00 mW,141.80 mA
4.60 V,652.00 mW,141.50 mA
4.59 V,656.00 mW,142.20 mA
4.60 V,652.00 mW,142.60 mA
4.60 V,658.00 mW,142.00 mA
4.60 V,652.00 mW,141.40 mA
4.83 V,374.00 mW,70.60 mA
4.59 V,648.00 mW,141.70 mA
4.59 V,648.00 mW,141.60 mA
4.59 V,648.00 mW,141.00 mA
4.58 V,656.00 mW,141.50 mA
4.60 V,652.00 mW,141.60 mA
4.59 V,652.00 mW,142.40 mA
4.60 V,652.00 mW,141.80 mA
4.60 V,656.00 mW,142.90 mA
4.60 V,652.00 mW,142.20 mA
4.59 V,652.00 mW,142.30 mA
4.60 V,648.00 mW,141.10 mA
4.59 V,652.00 mW,141.30 mA
4.70 V,636.00 mW,74.60 mA
4.59 V,648.00 mW,142.30 mA
4.60 V,648.00 mW,141.80 mA
4.60 V,652.00 mW,142.70 mA
4.60 V,652.00 mW,142.20 mA
4.60 V,652.00 mW,143.40 mA
4.60 V,652.00 mW,141.60 mA
4.59 V,652.00 mW,142.90 mA
4.60 V,648.00 mW,141.70 mA
4.60 V,648.00 mW,142.70 mA
4.60 V,648.00 mW,141.30 mA
4.59 V,648.00 mW,142.50 mA
4.60 V,652.00 mW,142.20 mA
4.63 V,658.00 mW,123.70 mA
4.60 V,652.00 mW,142.10 mA
4.60 V,656.00 mW,143.20 mA
4.60 V,656.00 mW,142.10 mA
4.60 V,652.00 mW,141.60 mA
4.60 V,652.00 mW,140.70 mA
4.60 V,648.00 mW,142.40 mA
4.60 V,616.00 mW,141.50 mA
4.60 V,648.00 mW,143.50 mA
4.60 V,652.00 mW,142.10 mA
4.60 V,656.00 mW,143.00 mA
4.60 V,652.00 mW,142.50 mA
4.61 V,652.00 mW,143.40 mA
4.60 V,656.00 mW,129.50 mA
4.60 V,652.00 mW,142.50 mA
4.60 V,648.00 mW,141.30 mA
4.60 V,648.00 mW,142.80 mA
4.60 V,648.00 mW,140.90 mA
4.60 V,652.00 mW,142.20 mA
4.60 V,652.00 mW,141.50 mA
4.60 V,596.00 mW,142.60 mA
4.60 V,656.00 mW,141.90 mA
4.60 V,656.00 mW,143.00 mA
4.60 V,656.00 mW,141.00 mA
4.60 V,648.00 mW,141.70 mA
4.60 V,652.00 mW,141.30 mA
4.59 V,656.00 mW,144.10 mA
4.60 V,652.00 mW,141.60 mA
4.60 V,648.00 mW,141.80 mA
4.60 V,656.00 mW,141.90 mA
4.60 V,656.00 mW,142.10 mA
4.60 V,658.00 mW,142.10 mA
4.60 V,652.00 mW,143.00 mA
4.62 V,566.00 mW,141.20 mA
4.60 V,652.00 mW,142.70 mA
4.60 V,652.00 mW,141.80 mA
4.60 V,648.00 mW,141.60 mA
4.60 V,648.00 mW,141.20 mA
4.60 V,652.00 mW,142.90 mA
4.60 V,656.00 mW,144.10 mA
4.60 V,652.00 mW,142.20 mA
4.60 V,656.00 mW,141.60 mA
4.60 V,656.00 mW,142.60 mA
4.60 V,656.00 mW,140.80 mA
4.60 V,648.00 mW,141.10 mA
4.60 V,656.00 mW,141.10 mA
4.64 V,476.00 mW,135.60 mA
4.60 V,652.00 mW,141.20 mA
4.60 V,652.00 mW,141.30 mA
4.60 V,658.00 mW,142.10 mA
4.60 V,652.00 mW,142.10 mA
4.60 V,658.00 mW,142.00 mA
4.60 V,652.00 mW,141.70 mA
4.60 V,658.00 mW,141.10 mA
4.60 V,652.00 mW,142.40 mA
4.60 V,656.00 mW,141.40 mA
4.60 V,648.00 mW,141.70 mA
4.60 V,652.00 mW,141.80 mA
4.60 V,652.00 mW,142.40 mA
4.72 V,386.00 mW,132.00 mA
4.60 V,656.00 mW,141.60 mA
4.60 V,656.00 mW,141.90 mA
4.60 V,656.00 mW,141.80 mA
4.60 V,656.00 mW,141.20 mA
4.60 V,648.00 mW,140.80 mA
4.60 V,656.00 mW,141.10 mA
4.60 V,652.00 mW,141.60 mA
4.60 V,656.00 mW,141.50 mA
