Bus Voltage,Power,Current
4.83 V,282.00 mW,69.10 mA
4.82 V,338.00 mW,71.00 mA
4.71 V,340.00 mW,109.60 mA
4.60 V,642.00 mW,139.40 mA
4.61 V,646.00 mW,139.40 mA
4.60 V,642.00 mW,139.80 mA
4.60 V,646.00 mW,139.60 mA
4.60 V,642.00 mW,138.80 mA
4.60 V,642.00 mW,138.90 mA
4.60 V,642.00 mW,139.40 mA
4.61 V,646.00 mW,138.60 mA
4.61 V,638.00 mW,138.80 mA
4.61 V,646.00 mW,139.50 mA
4.60 V,642.00 mW,139.80 mA
4.60 V,648.00 mW,139.20 mA
4.82 V,330.00 mW,70.30 mA
4.60 V,646.00 mW,140.30 mA
4.61 V,642.00 mW,139.50 mA
4.60 V,642.00 mW,139.50 mA
4.61 V,642.00 mW,138.80 mA
4.60 V,646.00 mW,139.50 mA
4.61 V,642.00 mW,139.20 mA
4.60 V,642.00 mW,140.00 mA
4.61 V,646.00 mW,139.10 mA
4.61 V,648.00 mW,140.00 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,642.00 mW,138.70 mA
4.84 V,374.00 mW,71.10 mA
4.61 V,642.00 mW,140.50 mA
4.61 V,638.00 mW,140.50 mA
4.61 V,638.00 mW,139.00 mA
4.61 V,642.00 mW,140.10 mA
4.62 V,642.00 mW,139.50 mA
4.62 V,642.00 mW,140.60 mA
4.61 V,642.00 mW,139.20 mA
4.61 V,646.00 mW,140.50 mA
4.62 V,646.00 mW,139.10 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,642.00 mW,139.90 mA
4.70 V,630.00 mW,72.00 mA
4.61 V,638.00 mW,139.40 mA
4.61 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,140.50 mA
4.61 V,648.00 mW,139.60 mA
4.62 V,646.00 mW,140.00 mA
4.61 V,648.00 mW,138.90 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,638.00 mW,138.90 mA
4.61 V,646.00 mW,139.20 mA
4.61 V,646.00 mW,139.40 mA
4.62 V,648.00 mW,139.50 mA
4.63 V,648.00 mW,120.70 mA
4.61 V,646.00 mW,139.40 mA
4.61 V,646.00 mW,139.50 mA
4.61 V,652.00 mW,139.30 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,646.00 mW,138.80 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,616.00 mW,139.40 mA
4.62 V,638.00 mW,139.50 mA
4.61 V,648.00 mW,139.30 mA
4.61 V,642.00 mW,140.30 mA
4.61 V,648.00 mW,139.40 mA
4.61 V,642.00 mW,139.80 mA
4.60 V,648.00 mW,128.10 mA
4.61 V,638.00 mW,139.70 mA
4.61 V,646.00 mW,139.50 mA
4.61 V,642.00 mW,138.80 mA
4.61 V,642.00 mW,139.00 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,652.00 mW,139.70 mA
4.62 V,594.00 mW,139.60 mA
4.62 V,648.00 mW,139.60 mA
4.62 V,646.00 mW,140.00 mA
4.61 V,652.00 mW,139.20 mA
4.61 V,638.00 mW,138.90 mA
4.61 V,646.00 mW,139.10 mA
4.60 V,642.00 mW,140.90 mA
4.61 V,646.00 mW,139.40 mA
4.61 V,638.00 mW,139.60 mA
4.61 V,646.00 mW,140.00 mA
4.61 V,646.00 mW,139.40 mA
4.60 V,646.00 mW,139.60 mA
4.61 V,642.00 mW,139.60 mA
4.63 V,564.00 mW,138.60 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,646.00 mW,139.10 mA
4.61 V,642.00 mW,139.20 mA
4.61 V,648.00 mW,139.40 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,648.00 mW,141.70 mA
4.62 V,646.00 mW,139.60 mA
4.60 V,646.00 mW,139.80 mA
4.62 V,642.00 mW,139.80 mA
4.61 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,138.80 mA
4.61 V,646.00 mW,139.40 mA
4.66 V,466.00 mW,133.60 mA
4.61 V,638.00 mW,139.50 mA
4.61 V,638.00 mW,139.20 mA
4.61 V,646.00 mW,139.80 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,646.00 mW,140.50 mA
4.62 V,642.00 mW,139.30 mA
4.61 V,646.00 mW,139.00 mA
4.61 V,638.00 mW,139.50 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,638.00 mW,139.00 mA
4.60 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,139.80 mA
4.72 V,374.00 mW,129.70 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,646.00 mW,140.20 mA
4.61 V,642.00 mW,139.10 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,638.00 mW,138.90 mA
4.60 V,652.00 mW,139.60 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,642.00 mW,140.30 mA
4.62 V,646.00 mW,139.10 mA
4.61 V,646.00 mW,140.00 mA
4.61 V,646.00 mW,139.80 mA
4.61 V,638.00 mW,140.60 mA
4.76 V,340.00 mW,104.70 mA
4.61 V,646.00 mW,140.20 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,642.00 mW,140.50 mA
4.61 V,638.00 mW,139.10 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,642.00 mW,139.90 mA
4.61 V,642.00 mW,140.40 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,642.00 mW,140.60 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,638.00 mW,139.90 mA
4.62 V,642.00 mW,139.10 mA
4.82 V,340.00 mW,104.30 mA
4.61 V,642.00 mW,139.40 mA
4.60 V,642.00 mW,140.60 mA
4.62 V,646.00 mW,139.20 mA
4.61 V,642.00 mW,140.40 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,642.00 mW,141.10 mA
4.62 V,642.00 mW,139.00 mA
4.60 V,646.00 mW,140.00 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,642.00 mW,140.60 mA
4.61 V,638.00 mW,139.00 mA
4.61 V,642.00 mW,140.40 mA
4.83 V,340.00 mW,70.90 mA
4.61 V,646.00 mW,140.90 mA
4.62 V,646.00 mW,139.60 mA
4.62 V,646.00 mW,140.90 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,642.00 mW,140.00 mA
4.61 V,642.00 mW,139.60 mA
4.61 V,642.00 mW,140.00 mA
4.61 V,646.00 mW,139.30 mA
4.61 V,642.00 mW,140.00 mA
4.61 V,646.00 mW,139.50 mA
4.61 V,642.00 mW,140.50 mA
4.61 V,648.00 mW,139.90 mA
4.83 V,338.00 mW,70.60 mA
4.61 V,648.00 mW,138.80 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,646.00 mW,139.30 mA
4.61 V,646.00 mW,139.00 mA
4.61 V,646.00 mW,139.10 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,648.00 mW,140.20 mA
4.62 V,642.00 mW,139.60 mA
4.61 V,648.00 mW,139.70 mA
4.61 V,646.00 mW,140.20 mA
4.61 V,646.00 mW,139.30 mA
4.61 V,642.00 mW,138.90 mA
4.81 V,350.00 mW,70.50 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,638.00 mW,139.50 mA
4.60 V,646.00 mW,140.30 mA
4.61 V,646.00 mW,139.80 mA
4.61 V,642.00 mW,140.60 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,646.00 mW,140.20 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,638.00 mW,140.30 mA
4.61 V,642.00 mW,138.60 mA
4.60 V,642.00 mW,140.00 mA
4.84 V,436.00 mW,69.00 mA
4.61 V,642.00 mW,140.00 mA
4.61 V,646.00 mW,139.10 mA
4.61 V,646.00 mW,140.50 mA
4.62 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,646.00 mW,139.00 mA
4.61 V,646.00 mW,140.60 mA
4.61 V,646.00 mW,139.30 mA
4.61 V,638.00 mW,140.40 mA
4.61 V,642.00 mW,139.40 mA
4.62 V,646.00 mW,140.40 mA
4.61 V,646.00 mW,139.50 mA
4.70 V,558.00 mW,76.70 mA
4.61 V,648.00 mW,139.90 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,648.00 mW,139.20 mA
4.61 V,638.00 mW,139.20 mA
4.60 V,646.00 mW,138.80 mA
4.61 V,642.00 mW,139.40 mA
4.60 V,646.00 mW,139.20 mA
4.61 V,638.00 mW,139.30 mA
4.61 V,648.00 mW,139.40 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,648.00 mW,139.70 mA
4.61 V,642.00 mW,139.60 mA
4.63 V,648.00 mW,124.70 mA
4.61 V,642.00 mW,139.60 mA
4.61 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,139.20 mA
4.61 V,646.00 mW,139.30 mA
4.61 V,642.00 mW,140.00 mA
4.61 V,648.00 mW,139.30 mA
4.61 V,636.00 mW,139.50 mA
4.61 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,139.60 mA
4.60 V,646.00 mW,139.20 mA
4.61 V,642.00 mW,138.90 mA
4.61 V,648.00 mW,139.00 mA
4.60 V,638.00 mW,131.60 mA
4.61 V,646.00 mW,139.60 mA
4.62 V,642.00 mW,139.10 mA
4.61 V,648.00 mW,139.50 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,646.00 mW,140.00 mA
4.61 V,642.00 mW,138.90 mA
4.61 V,574.00 mW,139.70 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,642.00 mW,138.60 mA
4.60 V,642.00 mW,139.90 mA
4.62 V,646.00 mW,139.50 mA
4.61 V,642.00 mW,136.50 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,648.00 mW,139.50 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,646.00 mW,139.50 mA
4.61 V,638.00 mW,139.00 mA
4.60 V,646.00 mW,139.20 mA
4.64 V,538.00 mW,138.70 mA
4.60 V,642.00 mW,139.80 mA
4.61 V,642.00 mW,139.10 mA
4.61 V,646.00 mW,139.60 mA
4.61 V,648.00 mW,140.10 mA
4.61 V,642.00 mW,140.00 mA
4.61 V,642.00 mW,139.90 mA
4.61 V,648.00 mW,139.70 mA
4.61 V,642.00 mW,139.60 mA
4.60 V,642.00 mW,140.00 mA
4.61 V,638.00 mW,139.00 mA
4.60 V,646.00 mW,140.40 mA
4.61 V,646.00 mW,139.20 mA
4.67 V,406.00 mW,132.30 mA
4.61 V,642.00 mW,139.40 mA
4.60 V,646.00 mW,140.50 mA
4.61 V,642.00 mW,139.30 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,642.00 mW,138.90 mA
4.60 V,646.00 mW,139.50 mA
4.61 V,648.00 mW,139.60 mA
4.60 V,646.00 mW,139.70 mA
4.61 V,642.00 mW,139.60 mA
4.60 V,646.00 mW,139.90 mA
4.61 V,646.00 mW,139.50 mA
4.61 V,642.00 mW,140.00 mA
4.73 V,330.00 mW,125.20 mA
4.60 V,642.00 mW,139.90 mA
4.61 V,642.00 mW,139.30 mA
4.60 V,638.00 mW,139.90 mA
4.61 V,638.00 mW,139.60 mA
4.60 V,648.00 mW,140.20 mA
4.61 V,642.00 mW,139.80 mA
4.61 V,642.00 mW,141.30 mA
4.61 V,642.00 mW,139.50 mA
4.61 V,646.00 mW,140.60 mA
4.60 V,642.00 mW,139.80 mA
4.61 V,642.00 mW,140.70 mA
4.62 V,642.00 mW,139.00 mA
4.80 V,338.00 mW,119.00 mA
4.61 V,638.00 mW,140.00 mA
4.61 V,642.00 mW,140.30 mA
4.61 V,642.00 mW,139.10 mA
4.61 V,646.00 mW,141.10 mA
4.61 V,642.00 mW,139.40 mA
4.61 V,642.00 mW,140.20 mA
4.61 V,642.00 mW,138.90 mA
4.61 V,646.00 mW,140.20 mA
4.61 V,642.00 mW,139.40 mA
4.60 V,642.00 mW,140.50 mA
4.62 V,638.00 mW,139.10 mA
4.61 V,642.00 mW,140.60 mA
4.83 V,340.00 mW,96.40 mA
4.61 V,642.00 mW,139.70 mA
4.62 V,646.00 mW,140.00 mA
4.61 V,646.00 mW,140.10 mA
4.61 V,646.00 mW,139.10 mA
4.61 V,638.00 mW,138.90 mA
4.61 V,642.00 mW,139.00 mA
4.61 V,642.00 mW,139.70 mA
4.61 V,646.00 mW,139.60 mA
4.61 V,642.00 mW,140.60 mA
4.61 V,646.00 mW,139.50 mA
4.61 V,642.00 mW,140.50 mA
4.61 V,646.00 mW,139.40 mA
4.83 V,340.00 mW,70.90 mA
4.60 V,646.00 mW,138.90 mA
4.61 V,642.00 mW,139.30 mA
4.60 V,648.00 mW,139.40 mA
4.61 V,638.00 mW,138.60 mA
4.60 V,646.00 mW,139.40 mA
4.61 V,642.00 mW,139.60 mA
4.61 V,648.00 mW,139.80 mA
4.61 V,642.00 mW,139.60 mA
4.61 V,648.00 mW,139.70 mA
4.61 V,646.00 mW,139.10 mA
4.61 V,648.00 mW,139.50 mA
4.61 V,638.00 mW,139.10 mA
4.83 V,358.00 mW,69.60 mA
4.61 V,638.00 mW,139.50 mA
4.60 V,642.00 mW,140.40 mA
4.61 V,642.00 mW,139.30 mA
4.60 V,646.00 mW,140.60 mA
