Bus Voltage,Power,Current
4.82 V,294.00 mW,67.80 mA
4.82 V,344.00 mW,70.30 mA
4.71 V,338.00 mW,108.40 mA
4.60 V,630.00 mW,137.40 mA
4.60 V,632.00 mW,138.30 mA
4.61 V,632.00 mW,136.90 mA
4.61 V,636.00 mW,137.90 mA
4.61 V,630.00 mW,136.80 mA
4.60 V,630.00 mW,137.80 mA
4.61 V,630.00 mW,136.80 mA
4.62 V,630.00 mW,137.60 mA
4.62 V,630.00 mW,137.00 mA
4.62 V,632.00 mW,138.20 mA
4.62 V,632.00 mW,137.60 mA
4.62 V,636.00 mW,138.10 mA
4.82 V,330.00 mW,70.20 mA
4.62 V,632.00 mW,137.00 mA
4.62 V,636.00 mW,136.40 mA
4.62 V,632.00 mW,138.00 mA
4.62 V,636.00 mW,136.70 mA
4.61 V,630.00 mW,137.90 mA
4.62 V,630.00 mW,136.00 mA
4.62 V,632.00 mW,139.00 mA
4.62 V,636.00 mW,137.40 mA
4.62 V,632.00 mW,137.50 mA
4.62 V,636.00 mW,136.90 mA
4.62 V,636.00 mW,138.30 mA
4.62 V,636.00 mW,136.60 mA
4.82 V,364.00 mW,71.10 mA
4.62 V,636.00 mW,136.60 mA
4.62 V,630.00 mW,137.10 mA
4.62 V,638.00 mW,136.90 mA
4.62 V,632.00 mW,137.00 mA
4.62 V,638.00 mW,136.90 mA
4.62 V,632.00 mW,137.20 mA
4.62 V,638.00 mW,137.60 mA
4.62 V,632.00 mW,136.80 mA
4.62 V,636.00 mW,136.80 mA
4.62 V,630.00 mW,136.50 mA
4.62 V,632.00 mW,137.10 mA
4.62 V,630.00 mW,136.30 mA
4.70 V,622.00 mW,67.30 mA
4.62 V,630.00 mW,137.40 mA
4.62 V,636.00 mW,138.10 mA
4.62 V,636.00 mW,137.30 mA
4.62 V,636.00 mW,138.00 mA
4.62 V,636.00 mW,137.40 mA
4.62 V,632.00 mW,138.00 mA
4.62 V,630.00 mW,136.20 mA
4.62 V,632.00 mW,137.60 mA
4.62 V,632.00 mW,136.80 mA
4.62 V,632.00 mW,138.50 mA
4.62 V,632.00 mW,137.20 mA
4.62 V,636.00 mW,137.90 mA
4.65 V,642.00 mW,118.80 mA
4.62 V,636.00 mW,138.60 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,636.00 mW,137.70 mA
4.62 V,632.00 mW,136.90 mA
4.62 V,630.00 mW,137.60 mA
4.62 V,630.00 mW,136.20 mA
4.62 V,602.00 mW,138.10 mA
4.62 V,632.00 mW,137.40 mA
4.62 V,632.00 mW,138.50 mA
4.62 V,636.00 mW,136.90 mA
4.62 V,636.00 mW,138.00 mA
4.62 V,632.00 mW,137.40 mA
4.62 V,632.00 mW,126.10 mA
4.62 V,630.00 mW,136.80 mA
4.62 V,632.00 mW,138.00 mA
4.62 V,632.00 mW,136.70 mA
4.62 V,630.00 mW,138.60 mA
4.63 V,632.00 mW,136.90 mA
4.62 V,636.00 mW,138.50 mA
4.63 V,580.00 mW,137.10 mA
4.62 V,638.00 mW,138.40 mA
4.62 V,636.00 mW,137.20 mA
4.62 V,632.00 mW,137.90 mA
4.62 V,632.00 mW,136.70 mA
4.62 V,632.00 mW,137.40 mA
4.62 V,632.00 mW,138.30 mA
4.62 V,636.00 mW,137.60 mA
4.63 V,636.00 mW,137.40 mA
4.63 V,632.00 mW,137.20 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,636.00 mW,138.30 mA
4.62 V,636.00 mW,136.60 mA
4.65 V,488.00 mW,137.80 mA
4.62 V,632.00 mW,136.50 mA
4.62 V,632.00 mW,137.80 mA
4.62 V,636.00 mW,136.70 mA
4.63 V,632.00 mW,137.80 mA
4.62 V,636.00 mW,137.20 mA
4.62 V,636.00 mW,140.40 mA
4.62 V,638.00 mW,137.70 mA
4.62 V,636.00 mW,137.50 mA
4.62 V,632.00 mW,136.70 mA
4.62 V,630.00 mW,137.20 mA
4.62 V,632.00 mW,136.60 mA
4.62 V,630.00 mW,136.40 mA
4.67 V,466.00 mW,131.30 mA
4.62 V,632.00 mW,137.80 mA
4.63 V,638.00 mW,137.40 mA
4.62 V,632.00 mW,136.90 mA
4.62 V,638.00 mW,137.40 mA
4.62 V,636.00 mW,136.90 mA
4.62 V,638.00 mW,136.80 mA
4.62 V,632.00 mW,136.50 mA
4.62 V,636.00 mW,136.60 mA
4.62 V,632.00 mW,137.80 mA
4.62 V,642.00 mW,136.60 mA
4.62 V,632.00 mW,137.50 mA
4.62 V,638.00 mW,137.30 mA
4.73 V,370.00 mW,127.20 mA
4.62 V,638.00 mW,137.30 mA
4.62 V,632.00 mW,137.30 mA
4.62 V,638.00 mW,136.20 mA
4.62 V,632.00 mW,136.90 mA
4.62 V,636.00 mW,136.50 mA
4.62 V,632.00 mW,136.60 mA
4.62 V,636.00 mW,137.90 mA
4.62 V,632.00 mW,137.60 mA
4.62 V,642.00 mW,137.30 mA
4.62 V,632.00 mW,137.40 mA
4.62 V,638.00 mW,137.10 mA
4.62 V,636.00 mW,137.20 mA
4.77 V,348.00 mW,104.60 mA
4.62 V,632.00 mW,136.50 mA
4.62 V,636.00 mW,136.50 mA
4.62 V,632.00 mW,136.90 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,632.00 mW,137.60 mA
4.62 V,642.00 mW,137.00 mA
4.62 V,636.00 mW,138.40 mA
4.62 V,642.00 mW,137.00 mA
4.63 V,636.00 mW,136.80 mA
4.62 V,638.00 mW,136.00 mA
4.62 V,632.00 mW,136.90 mA
4.62 V,636.00 mW,136.60 mA
4.83 V,338.00 mW,102.30 mA
4.62 V,636.00 mW,136.80 mA
4.62 V,636.00 mW,137.50 mA
4.62 V,642.00 mW,137.60 mA
4.62 V,636.00 mW,137.20 mA
4.62 V,638.00 mW,137.30 mA
4.62 V,636.00 mW,137.20 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,632.00 mW,136.50 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,632.00 mW,137.00 mA
4.62 V,632.00 mW,137.50 mA
4.62 V,632.00 mW,137.00 mA
4.82 V,344.00 mW,71.60 mA
4.62 V,636.00 mW,137.70 mA
4.62 V,636.00 mW,137.90 mA
4.62 V,636.00 mW,136.80 mA
4.62 V,630.00 mW,137.40 mA
4.62 V,632.00 mW,136.80 mA
4.62 V,630.00 mW,138.00 mA
4.62 V,632.00 mW,137.10 mA
4.62 V,632.00 mW,137.80 mA
4.63 V,636.00 mW,137.70 mA
4.62 V,632.00 mW,138.70 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,636.00 mW,138.10 mA
4.83 V,340.00 mW,70.30 mA
4.62 V,632.00 mW,136.40 mA
4.62 V,632.00 mW,136.60 mA
4.62 V,632.00 mW,137.20 mA
4.62 V,636.00 mW,136.70 mA
4.62 V,632.00 mW,136.80 mA
4.62 V,638.00 mW,137.10 mA
4.62 V,636.00 mW,137.50 mA
4.62 V,638.00 mW,137.30 mA
4.63 V,636.00 mW,137.00 mA
4.62 V,638.00 mW,137.20 mA
4.62 V,632.00 mW,137.50 mA
4.62 V,636.00 mW,136.60 mA
4.82 V,340.00 mW,70.40 mA
4.62 V,638.00 mW,136.80 mA
4.62 V,632.00 mW,136.80 mA
4.61 V,638.00 mW,137.90 mA
4.63 V,636.00 mW,137.20 mA
4.62 V,638.00 mW,137.10 mA
4.62 V,636.00 mW,137.50 mA
4.62 V,638.00 mW,137.60 mA
4.62 V,632.00 mW,136.50 mA
4.62 V,636.00 mW,136.60 mA
4.62 V,630.00 mW,136.40 mA
4.62 V,632.00 mW,137.70 mA
4.62 V,632.00 mW,136.50 mA
4.84 V,456.00 mW,68.90 mA
4.62 V,636.00 mW,137.40 mA
4.62 V,636.00 mW,138.70 mA
4.63 V,636.00 mW,137.10 mA
4.62 V,638.00 mW,138.30 mA
4.62 V,636.00 mW,136.90 mA
4.62 V,630.00 mW,137.70 mA
4.62 V,632.00 mW,136.70 mA
4.62 V,632.00 mW,138.00 mA
4.62 V,636.00 mW,137.00 mA
4.62 V,632.00 mW,139.00 mA
4.63 V,636.00 mW,137.50 mA
4.62 V,636.00 mW,138.00 mA
4.70 V,558.00 mW,75.90 mA
4.62 V,632.00 mW,137.40 mA
4.63 V,638.00 mW,136.50 mA
4.62 V,632.00 mW,137.30 mA
4.62 V,636.00 mW,136.30 mA
4.62 V,632.00 mW,136.90 mA
4.63 V,642.00 mW,137.00 mA
4.63 V,632.00 mW,137.90 mA
4.62 V,642.00 mW,137.10 mA
4.63 V,636.00 mW,136.90 mA
4.62 V,636.00 mW,137.10 mA
4.62 V,636.00 mW,137.70 mA
4.62 V,642.00 mW,136.80 mA
4.63 V,632.00 mW,123.90 mA
4.62 V,636.00 mW,137.10 mA
4.62 V,632.00 mW,137.00 mA
4.62 V,638.00 mW,137.00 mA
