Bus Voltage,Power,Current
4.88 V,226.00 mW,51.90 mA
4.88 V,252.00 mW,51.70 mA
4.88 V,250.00 mW,51.30 mA
4.54 V,754.00 mW,166.70 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.30 mA
4.53 V,756.00 mW,166.80 mA
4.54 V,754.00 mW,166.80 mA
4.54 V,756.00 mW,166.30 mA
4.53 V,756.00 mW,166.40 mA
4.53 V,756.00 mW,166.50 mA
4.53 V,754.00 mW,167.00 mA
4.54 V,754.00 mW,166.10 mA
4.53 V,756.00 mW,166.70 mA
4.54 V,756.00 mW,166.90 mA
4.54 V,754.00 mW,167.20 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,756.00 mW,166.40 mA
4.54 V,756.00 mW,167.00 mA
4.54 V,756.00 mW,166.70 mA
4.54 V,756.00 mW,166.30 mA
4.54 V,756.00 mW,166.40 mA
4.54 V,760.00 mW,167.00 mA
4.54 V,754.00 mW,166.80 mA
4.54 V,754.00 mW,166.40 mA
4.53 V,756.00 mW,166.20 mA
4.53 V,756.00 mW,166.90 mA
4.54 V,756.00 mW,166.90 mA
4.54 V,756.00 mW,166.50 mA
4.54 V,756.00 mW,166.10 mA
4.54 V,756.00 mW,166.90 mA
4.54 V,756.00 mW,166.90 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,756.00 mW,166.40 mA
4.54 V,756.00 mW,166.70 mA
4.54 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.20 mA
4.53 V,756.00 mW,166.60 mA
4.54 V,756.00 mW,166.70 mA
4.54 V,754.00 mW,166.10 mA
4.53 V,756.00 mW,166.30 mA
4.53 V,756.00 mW,167.00 mA
4.54 V,756.00 mW,166.60 mA
4.53 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.40 mA
4.53 V,756.00 mW,166.60 mA
4.54 V,754.00 mW,167.00 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,756.00 mW,166.70 mA
4.53 V,756.00 mW,166.80 mA
4.54 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,756.00 mW,166.50 mA
4.54 V,756.00 mW,166.50 mA
4.54 V,756.00 mW,166.60 mA
4.54 V,756.00 mW,166.40 mA
4.54 V,756.00 mW,166.70 mA
4.54 V,756.00 mW,166.80 mA
4.54 V,756.00 mW,166.50 mA
4.53 V,754.00 mW,166.40 mA
4.53 V,754.00 mW,166.10 mA
4.54 V,756.00 mW,166.70 mA
4.53 V,754.00 mW,166.50 mA
4.54 V,756.00 mW,166.70 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,756.00 mW,166.40 mA
4.53 V,754.00 mW,166.30 mA
4.54 V,756.00 mW,166.40 mA
4.54 V,754.00 mW,166.50 mA
4.53 V,756.00 mW,166.70 mA
4.54 V,756.00 mW,166.50 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.10 mA
4.53 V,756.00 mW,166.80 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,756.00 mW,166.50 mA
4.53 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.80 mA
4.54 V,754.00 mW,166.70 mA
4.53 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,756.00 mW,166.80 mA
4.54 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,756.00 mW,166.30 mA
4.53 V,754.00 mW,166.50 mA
4.54 V,754.00 mW,166.60 mA
4.53 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.20 mA
4.54 V,756.00 mW,166.70 mA
4.54 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,756.00 mW,166.10 mA
4.53 V,756.00 mW,166.70 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.80 mA
4.54 V,754.00 mW,166.30 mA
4.53 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.60 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.30 mA
4.53 V,754.00 mW,166.30 mA
4.54 V,756.00 mW,166.60 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,756.00 mW,166.60 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,754.00 mW,166.10 mA
4.54 V,754.00 mW,166.10 mA
4.54 V,756.00 mW,167.00 mA
4.53 V,754.00 mW,166.10 mA
4.54 V,754.00 mW,166.10 mA
4.54 V,754.00 mW,166.00 mA
4.54 V,756.00 mW,166.60 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.70 mA
4.54 V,754.00 mW,166.70 mA
4.54 V,754.00 mW,166.10 mA
4.54 V,756.00 mW,166.50 mA
4.54 V,754.00 mW,166.40 mA
4.53 V,754.00 mW,166.80 mA
4.54 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,756.00 mW,166.30 mA
4.54 V,756.00 mW,166.80 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.40 mA
4.54 V,754.00 mW,166.40 mA
4.75 V,250.00 mW,163.40 mA
4.54 V,754.00 mW,166.10 mA
4.54 V,754.00 mW,166.10 mA
4.53 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.70 mA
4.54 V,754.00 mW,166.50 mA
4.54 V,754.00 mW,166.00 mA
4.54 V,756.00 mW,166.10 mA
4.53 V,754.00 mW,166.80 mA
4.53 V,754.00 mW,166.30 mA
4.54 V,754.00 mW,166.40 mA
