Bus Voltage,Power,Current
4.84 V,206.00 mW,51.40 mA
4.79 V,318.00 mW,68.00 mA
4.78 V,328.00 mW,53.90 mA
4.84 V,258.00 mW,53.40 mA
4.85 V,216.00 mW,68.60 mA
4.78 V,432.00 mW,66.00 mA
4.80 V,322.00 mW,57.10 mA
4.84 V,258.00 mW,53.10 mA
4.84 V,210.00 mW,51.20 mA
4.79 V,322.00 mW,65.50 mA
4.78 V,324.00 mW,55.30 mA
4.84 V,252.00 mW,52.80 mA
4.85 V,212.00 mW,72.30 mA
4.78 V,452.00 mW,68.40 mA
4.78 V,328.00 mW,58.80 mA
4.84 V,258.00 mW,53.60 mA
4.84 V,212.00 mW,52.40 mA
4.79 V,324.00 mW,66.60 mA
4.78 V,322.00 mW,54.00 mA
4.84 V,258.00 mW,52.90 mA
4.85 V,216.00 mW,74.10 mA
4.80 V,442.00 mW,65.20 mA
4.79 V,322.00 mW,57.80 mA
4.84 V,256.00 mW,52.10 mA
4.85 V,210.00 mW,51.10 mA
4.78 V,330.00 mW,68.30 mA
4.78 V,328.00 mW,54.90 mA
4.84 V,256.00 mW,53.20 mA
4.86 V,220.00 mW,74.80 mA
4.79 V,478.00 mW,67.60 mA
4.79 V,328.00 mW,58.70 mA
4.84 V,258.00 mW,53.90 mA
4.85 V,212.00 mW,51.90 mA
4.79 V,384.00 mW,65.60 mA
4.78 V,324.00 mW,56.70 mA
4.84 V,258.00 mW,52.70 mA
4.86 V,216.00 mW,76.00 mA
4.78 V,508.00 mW,68.70 mA
4.78 V,330.00 mW,61.60 mA
4.84 V,256.00 mW,53.10 mA
4.84 V,210.00 mW,52.30 mA
4.78 V,458.00 mW,68.90 mA
4.78 V,330.00 mW,57.80 mA
4.84 V,262.00 mW,54.10 mA
4.85 V,212.00 mW,78.60 mA
4.79 V,504.00 mW,66.70 mA
4.78 V,324.00 mW,68.20 mA
4.84 V,262.00 mW,53.50 mA
4.85 V,210.00 mW,51.30 mA
4.80 V,312.00 mW,66.20 mA
4.82 V,322.00 mW,54.20 mA
4.84 V,258.00 mW,53.20 mA
4.85 V,220.00 mW,56.40 mA
4.78 V,302.00 mW,68.80 mA
4.84 V,328.00 mW,54.10 mA
4.84 V,258.00 mW,54.10 mA
4.85 V,216.00 mW,52.40 mA
4.74 V,522.00 mW,67.40 mA
4.78 V,324.00 mW,61.30 mA
4.84 V,258.00 mW,53.20 mA
4.86 V,216.00 mW,74.10 mA
4.78 V,502.00 mW,66.80 mA
4.78 V,328.00 mW,69.10 mA
4.84 V,258.00 mW,53.30 mA
4.85 V,210.00 mW,52.10 mA
4.77 V,478.00 mW,69.00 mA
4.78 V,328.00 mW,58.50 mA
4.83 V,258.00 mW,54.00 mA
4.85 V,216.00 mW,78.20 mA
4.61 V,504.00 mW,79.20 mA
4.78 V,328.00 mW,68.20 mA
4.84 V,262.00 mW,53.80 mA
4.85 V,210.00 mW,51.70 mA
4.61 V,514.00 mW,113.00 mA
4.78 V,338.00 mW,69.70 mA
4.84 V,258.00 mW,53.60 mA
4.86 V,210.00 mW,81.10 mA
4.61 V,512.00 mW,80.00 mA
4.78 V,334.00 mW,69.20 mA
4.84 V,262.00 mW,54.30 mA
4.84 V,216.00 mW,53.20 mA
4.61 V,522.00 mW,76.20 mA
