Bus Voltage,Power,Current
4.67 V,194.00 mW,48.20 mA
4.11 V,456.00 mW,126.60 mA
4.06 V,518.00 mW,127.40 mA
4.06 V,514.00 mW,127.30 mA
4.06 V,518.00 mW,127.10 mA
4.05 V,518.00 mW,127.60 mA
4.05 V,518.00 mW,127.60 mA
4.05 V,514.00 mW,127.20 mA
4.05 V,518.00 mW,127.20 mA
4.05 V,518.00 mW,127.80 mA
4.06 V,514.00 mW,127.40 mA
4.05 V,514.00 mW,127.70 mA
4.05 V,514.00 mW,126.80 mA
4.05 V,514.00 mW,127.40 mA
4.05 V,518.00 mW,127.60 mA
4.05 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,127.50 mA
4.05 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,127.50 mA
4.05 V,518.00 mW,127.80 mA
4.05 V,518.00 mW,127.70 mA
4.05 V,514.00 mW,127.60 mA
4.05 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,127.40 mA
4.05 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,127.60 mA
4.06 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,127.50 mA
4.05 V,518.00 mW,127.50 mA
4.05 V,518.00 mW,127.60 mA
4.05 V,518.00 mW,127.80 mA
4.05 V,518.00 mW,127.40 mA
4.06 V,518.00 mW,127.60 mA
4.05 V,518.00 mW,127.90 mA
4.06 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,126.80 mA
4.06 V,518.00 mW,127.50 mA
4.05 V,518.00 mW,127.70 mA
4.06 V,514.00 mW,127.40 mA
4.06 V,514.00 mW,127.60 mA
4.05 V,518.00 mW,127.70 mA
4.05 V,518.00 mW,127.60 mA
4.06 V,518.00 mW,127.60 mA
4.06 V,518.00 mW,127.40 mA
4.06 V,518.00 mW,127.40 mA
4.05 V,518.00 mW,127.60 mA
4.06 V,518.00 mW,127.60 mA
4.05 V,518.00 mW,127.30 mA
4.05 V,518.00 mW,127.60 mA
4.05 V,518.00 mW,127.80 mA
4.05 V,518.00 mW,127.50 mA
4.06 V,518.00 mW,127.10 mA
4.05 V,518.00 mW,127.80 mA
