Bus Voltage,Power,Current
4.66 V,194.00 mW,48.30 mA
4.12 V,488.00 mW,148.90 mA
4.01 V,606.00 mW,151.80 mA
4.01 V,610.00 mW,151.60 mA
4.01 V,610.00 mW,151.50 mA
4.01 V,610.00 mW,152.00 mA
4.01 V,610.00 mW,151.70 mA
4.00 V,610.00 mW,151.60 mA
4.01 V,610.00 mW,151.70 mA
4.01 V,610.00 mW,151.70 mA
4.01 V,610.00 mW,152.10 mA
4.01 V,610.00 mW,151.80 mA
4.01 V,610.00 mW,151.60 mA
4.01 V,606.00 mW,152.00 mA
4.01 V,606.00 mW,151.80 mA
4.01 V,610.00 mW,151.70 mA
4.01 V,610.00 mW,151.90 mA
4.00 V,606.00 mW,152.00 mA
4.01 V,610.00 mW,152.10 mA
4.01 V,606.00 mW,151.70 mA
4.01 V,610.00 mW,152.30 mA
4.01 V,610.00 mW,152.20 mA
4.00 V,610.00 mW,151.70 mA
4.01 V,610.00 mW,152.00 mA
4.00 V,606.00 mW,152.00 mA
4.01 V,610.00 mW,151.60 mA
4.01 V,610.00 mW,151.90 mA
4.01 V,610.00 mW,152.00 mA
4.01 V,610.00 mW,151.90 mA
4.01 V,610.00 mW,152.00 mA
4.01 V,610.00 mW,151.80 mA
4.01 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,152.00 mA
4.01 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,152.00 mA
4.01 V,610.00 mW,152.00 mA
4.01 V,610.00 mW,151.80 mA
4.01 V,610.00 mW,151.50 mA
4.01 V,610.00 mW,152.20 mA
4.01 V,610.00 mW,151.90 mA
4.01 V,610.00 mW,152.00 mA
4.02 V,610.00 mW,151.60 mA
4.02 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,151.80 mA
4.01 V,610.00 mW,151.80 mA
4.02 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,152.00 mA
4.02 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,152.00 mA
4.02 V,610.00 mW,151.70 mA
4.02 V,610.00 mW,152.00 mA
4.02 V,610.00 mW,152.20 mA
4.02 V,610.00 mW,152.00 mA
4.66 V,240.00 mW,56.80 mA
4.01 V,610.00 mW,151.50 mA
4.02 V,610.00 mW,151.80 mA
4.02 V,610.00 mW,151.70 mA
4.01 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,151.90 mA
4.02 V,612.00 mW,152.20 mA
4.02 V,610.00 mW,151.90 mA
4.02 V,610.00 mW,151.60 mA
