Bus Voltage,Power,Current
4.54 V,186.00 mW,46.00 mA
4.19 V,276.00 mW,86.70 mA
4.18 V,364.00 mW,87.30 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,364.00 mW,87.20 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,364.00 mW,87.80 mA
4.18 V,364.00 mW,87.50 mA
4.18 V,364.00 mW,87.30 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.20 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,364.00 mW,87.50 mA
4.18 V,364.00 mW,87.20 mA
4.18 V,368.00 mW,88.00 mA
4.18 V,364.00 mW,87.50 mA
4.18 V,364.00 mW,87.40 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,364.00 mW,87.20 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,364.00 mW,87.80 mA
4.18 V,364.00 mW,87.60 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,364.00 mW,87.70 mA
4.18 V,364.00 mW,87.80 mA
4.18 V,364.00 mW,87.40 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,364.00 mW,87.60 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,88.00 mA
4.18 V,364.00 mW,87.30 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,364.00 mW,87.40 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.20 mA
4.18 V,364.00 mW,87.60 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,364.00 mW,87.70 mA
4.24 V,304.00 mW,86.90 mA
4.18 V,368.00 mW,87.10 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,364.00 mW,87.30 mA
4.18 V,368.00 mW,87.20 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,364.00 mW,87.60 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,88.10 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,364.00 mW,87.60 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,364.00 mW,87.90 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,87.20 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,364.00 mW,87.50 mA
4.18 V,368.00 mW,87.70 mA
4.19 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.20 mA
4.18 V,368.00 mW,88.00 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.60 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,364.00 mW,87.20 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,364.00 mW,87.80 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.90 mA
4.18 V,364.00 mW,87.70 mA
4.18 V,368.00 mW,87.50 mA
4.18 V,368.00 mW,87.70 mA
4.18 V,368.00 mW,87.90 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,87.40 mA
4.18 V,364.00 mW,87.70 mA
4.18 V,368.00 mW,87.30 mA
4.18 V,368.00 mW,87.50 mA
4.21 V,212.00 mW,86.20 mA
