Bus Voltage,Power,Current
4.47 V,216.00 mW,48.10 mA
4.54 V,180.00 mW,50.00 mA
4.31 V,262.00 mW,63.30 mA
4.40 V,272.00 mW,51.30 mA
4.46 V,216.00 mW,48.90 mA
4.50 V,184.00 mW,47.10 mA
4.32 V,256.00 mW,62.10 mA
4.44 V,268.00 mW,49.20 mA
4.46 V,220.00 mW,48.70 mA
4.49 V,184.00 mW,46.70 mA
4.34 V,256.00 mW,60.90 mA
4.39 V,268.00 mW,49.20 mA
4.47 V,212.00 mW,47.80 mA
4.52 V,180.00 mW,61.80 mA
4.33 V,250.00 mW,60.80 mA
4.42 V,268.00 mW,50.40 mA
4.46 V,216.00 mW,48.50 mA
4.49 V,184.00 mW,47.50 mA
4.32 V,258.00 mW,62.90 mA
4.36 V,272.00 mW,49.00 mA
4.46 V,220.00 mW,49.10 mA
4.52 V,180.00 mW,53.00 mA
4.33 V,246.00 mW,62.00 mA
4.41 V,268.00 mW,50.60 mA
4.46 V,216.00 mW,47.90 mA
4.51 V,180.00 mW,46.10 mA
4.33 V,252.00 mW,60.60 mA
4.32 V,272.00 mW,50.20 mA
4.47 V,216.00 mW,48.40 mA
4.49 V,184.00 mW,47.50 mA
4.31 V,262.00 mW,62.90 mA
4.40 V,272.00 mW,48.90 mA
4.46 V,216.00 mW,49.10 mA
4.50 V,186.00 mW,63.40 mA
4.33 V,252.00 mW,61.60 mA
4.44 V,268.00 mW,49.50 mA
4.47 V,220.00 mW,48.60 mA
4.50 V,184.00 mW,46.50 mA
4.34 V,256.00 mW,60.60 mA
4.36 V,276.00 mW,49.90 mA
4.46 V,216.00 mW,48.30 mA
4.52 V,180.00 mW,53.60 mA
4.33 V,246.00 mW,61.30 mA
4.42 V,268.00 mW,50.60 mA
4.47 V,216.00 mW,49.20 mA
4.49 V,184.00 mW,47.40 mA
4.31 V,256.00 mW,62.70 mA
4.34 V,272.00 mW,49.20 mA
4.46 V,220.00 mW,48.40 mA
4.49 V,184.00 mW,47.60 mA
4.34 V,258.00 mW,61.80 mA
4.40 V,268.00 mW,49.00 mA
4.47 V,216.00 mW,48.40 mA
4.51 V,180.00 mW,49.40 mA
4.33 V,246.00 mW,60.80 mA
4.44 V,272.00 mW,49.90 mA
4.47 V,212.00 mW,48.50 mA
4.49 V,184.00 mW,47.10 mA
4.32 V,256.00 mW,62.90 mA
4.40 V,268.00 mW,48.70 mA
4.46 V,216.00 mW,48.70 mA
4.51 V,184.00 mW,49.50 mA
4.34 V,240.00 mW,62.40 mA
4.44 V,268.00 mW,49.30 mA
4.46 V,220.00 mW,48.50 mA
4.50 V,184.00 mW,46.10 mA
4.33 V,250.00 mW,60.50 mA
4.37 V,276.00 mW,49.50 mA
4.47 V,216.00 mW,48.10 mA
4.49 V,184.00 mW,46.60 mA
4.33 V,258.00 mW,61.30 mA
