Bus Voltage,Power,Current
4.61 V,184.00 mW,48.20 mA
4.47 V,242.00 mW,59.60 mA
4.54 V,272.00 mW,49.20 mA
4.58 V,220.00 mW,47.50 mA
4.60 V,180.00 mW,45.60 mA
4.46 V,250.00 mW,60.90 mA
4.50 V,276.00 mW,49.10 mA
4.58 V,216.00 mW,47.50 mA
4.60 V,180.00 mW,46.20 mA
4.47 V,256.00 mW,61.30 mA
4.53 V,266.00 mW,48.00 mA
4.58 V,220.00 mW,48.00 mA
4.62 V,184.00 mW,52.10 mA
4.48 V,246.00 mW,60.10 mA
4.55 V,272.00 mW,49.50 mA
4.58 V,220.00 mW,47.10 mA
4.61 V,180.00 mW,45.60 mA
4.48 V,252.00 mW,59.30 mA
4.48 V,276.00 mW,49.30 mA
4.59 V,216.00 mW,47.40 mA
4.60 V,180.00 mW,46.40 mA
4.47 V,258.00 mW,61.50 mA
4.54 V,272.00 mW,48.10 mA
4.58 V,220.00 mW,48.20 mA
4.62 V,184.00 mW,53.90 mA
4.48 V,246.00 mW,59.80 mA
4.55 V,272.00 mW,49.30 mA
4.58 V,220.00 mW,47.60 mA
4.61 V,184.00 mW,45.70 mA
4.48 V,252.00 mW,59.40 mA
4.49 V,276.00 mW,49.30 mA
4.59 V,220.00 mW,46.70 mA
4.60 V,180.00 mW,46.70 mA
4.46 V,262.00 mW,61.50 mA
4.54 V,276.00 mW,48.40 mA
4.58 V,220.00 mW,48.50 mA
4.61 V,190.00 mW,49.10 mA
4.47 V,246.00 mW,60.50 mA
4.56 V,272.00 mW,48.80 mA
4.58 V,220.00 mW,48.10 mA
4.60 V,180.00 mW,45.70 mA
4.48 V,252.00 mW,59.50 mA
4.52 V,276.00 mW,48.90 mA
4.59 V,216.00 mW,47.30 mA
4.64 V,180.00 mW,46.70 mA
4.48 V,258.00 mW,59.90 mA
4.54 V,272.00 mW,50.20 mA
4.58 V,220.00 mW,48.00 mA
4.61 V,186.00 mW,49.20 mA
4.47 V,250.00 mW,60.90 mA
4.56 V,276.00 mW,48.70 mA
4.58 V,220.00 mW,48.10 mA
4.60 V,184.00 mW,46.20 mA
4.48 V,252.00 mW,60.40 mA
4.52 V,272.00 mW,48.50 mA
