Bus Voltage,Power,Current
4.92 V,318.00 mW,72.40 mA
4.91 V,358.00 mW,72.20 mA
4.92 V,354.00 mW,72.10 mA
4.91 V,354.00 mW,72.30 mA
4.91 V,354.00 mW,72.20 mA
4.77 V,718.00 mW,150.30 mA
4.91 V,318.00 mW,72.20 mA
4.91 V,354.00 mW,72.40 mA
4.91 V,358.00 mW,72.80 mA
4.91 V,354.00 mW,72.50 mA
4.91 V,358.00 mW,72.30 mA
4.88 V,430.00 mW,88.50 mA
4.91 V,318.00 mW,72.60 mA
4.91 V,358.00 mW,72.80 mA
4.91 V,358.00 mW,72.70 mA
4.91 V,360.00 mW,73.10 mA
4.91 V,358.00 mW,72.80 mA
4.77 V,718.00 mW,150.50 mA
4.91 V,318.00 mW,72.40 mA
4.91 V,358.00 mW,72.50 mA
4.91 V,358.00 mW,73.20 mA
4.91 V,358.00 mW,72.50 mA
4.91 V,358.00 mW,72.70 mA
4.76 V,714.00 mW,150.30 mA
4.91 V,318.00 mW,72.80 mA
4.91 V,358.00 mW,72.80 mA
4.91 V,358.00 mW,72.40 mA
4.91 V,358.00 mW,72.50 mA
4.91 V,354.00 mW,72.60 mA
4.76 V,714.00 mW,149.70 mA
4.91 V,318.00 mW,72.30 mA
4.91 V,358.00 mW,72.50 mA
4.91 V,358.00 mW,72.60 mA
4.91 V,354.00 mW,72.40 mA
4.91 V,358.00 mW,72.60 mA
4.88 V,430.00 mW,88.50 mA
4.91 V,318.00 mW,72.60 mA
4.91 V,360.00 mW,72.70 mA
4.91 V,358.00 mW,72.90 mA
4.91 V,360.00 mW,73.00 mA
4.91 V,354.00 mW,72.30 mA
4.77 V,714.00 mW,150.30 mA
4.91 V,318.00 mW,72.50 mA
4.91 V,358.00 mW,72.30 mA
4.91 V,358.00 mW,72.60 mA
4.91 V,358.00 mW,72.20 mA
4.91 V,358.00 mW,72.60 mA
4.88 V,426.00 mW,88.70 mA
4.91 V,314.00 mW,72.50 mA
4.91 V,358.00 mW,72.70 mA
4.91 V,358.00 mW,72.30 mA
4.91 V,358.00 mW,72.70 mA
4.91 V,358.00 mW,72.60 mA
4.88 V,426.00 mW,88.20 mA
4.91 V,318.00 mW,72.20 mA
4.91 V,354.00 mW,72.30 mA
4.91 V,354.00 mW,72.50 mA
4.91 V,354.00 mW,72.10 mA
4.91 V,358.00 mW,72.40 mA
4.88 V,422.00 mW,88.30 mA
4.91 V,314.00 mW,72.30 mA
4.91 V,354.00 mW,72.50 mA
4.91 V,354.00 mW,72.30 mA
4.91 V,354.00 mW,72.40 mA
4.91 V,354.00 mW,72.10 mA
4.88 V,426.00 mW,88.20 mA
4.91 V,318.00 mW,71.90 mA
4.92 V,354.00 mW,72.20 mA
4.91 V,354.00 mW,71.90 mA
4.91 V,354.00 mW,72.00 mA
4.91 V,358.00 mW,72.40 mA
4.88 V,422.00 mW,87.90 mA
4.92 V,314.00 mW,71.90 mA
4.91 V,354.00 mW,71.80 mA
4.91 V,354.00 mW,72.00 mA
4.91 V,354.00 mW,71.90 mA
4.91 V,350.00 mW,71.50 mA
4.88 V,422.00 mW,87.60 mA
4.92 V,312.00 mW,71.40 mA
4.91 V,350.00 mW,71.40 mA
4.91 V,350.00 mW,71.60 mA
4.92 V,354.00 mW,71.60 mA
4.92 V,350.00 mW,71.40 mA
4.77 V,712.00 mW,149.90 mA
4.92 V,314.00 mW,71.40 mA
4.92 V,350.00 mW,71.60 mA
4.91 V,350.00 mW,71.40 mA
4.91 V,350.00 mW,71.60 mA
4.91 V,348.00 mW,71.00 mA
4.88 V,416.00 mW,87.40 mA
4.92 V,314.00 mW,71.60 mA
4.91 V,350.00 mW,71.30 mA
4.91 V,350.00 mW,71.40 mA
4.91 V,350.00 mW,71.50 mA
4.91 V,354.00 mW,71.70 mA
4.88 V,416.00 mW,87.40 mA
4.92 V,314.00 mW,71.60 mA
4.91 V,350.00 mW,71.60 mA
4.91 V,350.00 mW,71.70 mA
4.91 V,350.00 mW,71.70 mA
4.91 V,350.00 mW,71.50 mA
4.88 V,416.00 mW,87.30 mA
4.92 V,314.00 mW,71.60 mA
4.92 V,350.00 mW,71.30 mA
4.91 V,350.00 mW,71.40 mA
4.91 V,350.00 mW,71.60 mA
4.91 V,350.00 mW,71.50 mA
4.88 V,412.00 mW,87.20 mA
4.92 V,312.00 mW,71.20 mA
