Bus Voltage,Power,Current
4.75 V,258.00 mW,60.80 mA
4.74 V,288.00 mW,60.90 mA
4.74 V,288.00 mW,60.70 mA
4.73 V,292.00 mW,61.20 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,596.00 mW,139.20 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,596.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,596.00 mW,139.30 mA
4.26 V,596.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,596.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,596.00 mW,139.40 mA
4.26 V,596.00 mW,139.50 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.74 V,288.00 mW,60.40 mA
4.74 V,286.00 mW,60.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,596.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,590.00 mW,139.40 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,590.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.25 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.20 mA
4.74 V,286.00 mW,60.10 mA
4.73 V,288.00 mW,60.50 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,590.00 mW,139.00 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.25 V,590.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.25 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.25 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,138.80 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,590.00 mW,138.90 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.80 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,590.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.73 V,286.00 mW,60.40 mA
4.74 V,286.00 mW,75.50 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,590.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.25 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.20 mA
4.25 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,138.90 mA
4.25 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.20 mA
4.25 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,590.00 mW,139.30 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.25 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.10 mA
4.68 V,462.00 mW,68.10 mA
4.74 V,286.00 mW,60.20 mA
4.26 V,590.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,596.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,594.00 mW,139.20 mA
4.25 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,596.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.73 V,288.00 mW,60.30 mA
4.74 V,286.00 mW,60.50 mA
4.26 V,594.00 mW,138.80 mA
4.26 V,594.00 mW,138.80 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,138.80 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,138.70 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,590.00 mW,139.10 mA
4.26 V,590.00 mW,138.90 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,590.00 mW,139.10 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,138.80 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,596.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.10 mA
4.74 V,286.00 mW,60.50 mA
4.74 V,286.00 mW,60.10 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,590.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,590.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,590.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,596.00 mW,139.60 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,138.80 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,590.00 mW,139.50 mA
4.26 V,594.00 mW,138.90 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,590.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,590.00 mW,139.70 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.00 mA
4.25 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.20 mA
4.74 V,286.00 mW,60.10 mA
4.73 V,286.00 mW,60.00 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.70 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.80 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.60 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.00 mA
4.26 V,594.00 mW,139.10 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,596.00 mW,139.50 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.50 mA
4.26 V,594.00 mW,139.30 mA
4.26 V,594.00 mW,139.40 mA
4.26 V,594.00 mW,82.30 mA
4.73 V,286.00 mW,60.60 mA
4.27 V,584.00 mW,138.40 mA
4.26 V,594.00 mW,139.20 mA
4.26 V,594.00 mW,139.20 mA
