Bus Voltage,Power,Current
4.91 V,312.00 mW,71.40 mA
4.90 V,350.00 mW,71.10 mA
4.90 V,348.00 mW,70.90 mA
4.90 V,350.00 mW,71.20 mA
4.90 V,350.00 mW,71.50 mA
4.87 V,420.00 mW,86.50 mA
4.90 V,308.00 mW,71.30 mA
4.90 V,350.00 mW,71.60 mA
4.90 V,350.00 mW,71.80 mA
4.90 V,350.00 mW,71.70 mA
4.90 V,350.00 mW,71.50 mA
4.87 V,422.00 mW,87.40 mA
4.90 V,312.00 mW,71.80 mA
4.90 V,354.00 mW,71.60 mA
4.90 V,350.00 mW,71.10 mA
4.90 V,354.00 mW,72.10 mA
4.90 V,350.00 mW,71.90 mA
4.87 V,422.00 mW,87.00 mA
4.90 V,312.00 mW,71.40 mA
4.90 V,350.00 mW,71.70 mA
4.90 V,350.00 mW,72.20 mA
4.90 V,350.00 mW,71.70 mA
4.90 V,354.00 mW,71.60 mA
4.86 V,422.00 mW,87.50 mA
4.90 V,312.00 mW,71.90 mA
4.90 V,354.00 mW,72.00 mA
4.90 V,354.00 mW,71.60 mA
4.90 V,354.00 mW,72.00 mA
4.90 V,350.00 mW,71.40 mA
4.87 V,422.00 mW,87.00 mA
4.90 V,314.00 mW,71.50 mA
4.90 V,350.00 mW,71.40 mA
4.90 V,350.00 mW,72.10 mA
4.90 V,348.00 mW,71.50 mA
4.90 V,350.00 mW,71.70 mA
4.87 V,422.00 mW,87.60 mA
4.90 V,312.00 mW,71.70 mA
4.90 V,354.00 mW,71.80 mA
4.90 V,354.00 mW,71.70 mA
4.90 V,350.00 mW,72.10 mA
4.90 V,350.00 mW,71.00 mA
4.87 V,422.00 mW,86.90 mA
4.90 V,312.00 mW,71.90 mA
4.90 V,350.00 mW,71.60 mA
4.90 V,350.00 mW,71.80 mA
4.90 V,350.00 mW,71.30 mA
4.90 V,350.00 mW,71.90 mA
4.87 V,422.00 mW,87.20 mA
4.90 V,312.00 mW,71.30 mA
4.90 V,350.00 mW,71.80 mA
4.90 V,354.00 mW,71.70 mA
4.90 V,350.00 mW,71.80 mA
4.90 V,350.00 mW,71.30 mA
4.74 V,694.00 mW,146.70 mA
4.90 V,314.00 mW,71.40 mA
4.90 V,348.00 mW,71.00 mA
4.90 V,348.00 mW,71.10 mA
4.90 V,348.00 mW,71.10 mA
4.90 V,350.00 mW,71.40 mA
4.87 V,420.00 mW,86.60 mA
4.90 V,312.00 mW,71.10 mA
4.90 V,350.00 mW,71.50 mA
4.90 V,350.00 mW,71.80 mA
4.90 V,348.00 mW,71.60 mA
4.90 V,348.00 mW,71.10 mA
4.87 V,422.00 mW,87.10 mA
4.90 V,312.00 mW,71.60 mA
4.90 V,350.00 mW,71.00 mA
4.90 V,348.00 mW,71.20 mA
4.90 V,350.00 mW,71.10 mA
4.90 V,350.00 mW,71.50 mA
4.87 V,416.00 mW,86.70 mA
4.90 V,308.00 mW,71.10 mA
4.90 V,350.00 mW,71.40 mA
4.90 V,350.00 mW,71.40 mA
4.90 V,348.00 mW,71.30 mA
4.90 V,348.00 mW,70.70 mA
4.86 V,420.00 mW,86.90 mA
4.90 V,312.00 mW,71.50 mA
4.90 V,348.00 mW,70.90 mA
4.90 V,348.00 mW,70.90 mA
4.89 V,350.00 mW,71.40 mA
4.90 V,350.00 mW,71.40 mA
4.86 V,416.00 mW,86.40 mA
4.90 V,308.00 mW,70.70 mA
4.90 V,348.00 mW,71.20 mA
4.90 V,350.00 mW,71.40 mA
4.90 V,348.00 mW,71.00 mA
4.90 V,348.00 mW,70.90 mA
4.86 V,416.00 mW,87.00 mA
4.90 V,312.00 mW,71.30 mA
4.89 V,350.00 mW,71.10 mA
4.90 V,348.00 mW,70.90 mA
4.90 V,350.00 mW,71.10 mA
4.90 V,348.00 mW,71.40 mA
4.86 V,416.00 mW,85.80 mA
4.90 V,308.00 mW,70.70 mA
4.90 V,344.00 mW,71.20 mA
4.90 V,348.00 mW,71.50 mA
4.90 V,348.00 mW,70.90 mA
4.90 V,348.00 mW,70.90 mA
4.86 V,416.00 mW,86.80 mA
4.90 V,312.00 mW,70.90 mA
4.90 V,350.00 mW,71.10 mA
4.90 V,348.00 mW,70.80 mA
4.90 V,350.00 mW,71.00 mA
4.89 V,348.00 mW,71.30 mA
4.74 V,684.00 mW,145.20 mA
4.90 V,308.00 mW,70.30 mA
4.90 V,344.00 mW,71.00 mA
4.89 V,348.00 mW,71.10 mA
4.90 V,344.00 mW,70.50 mA
4.90 V,348.00 mW,70.50 mA
4.86 V,412.00 mW,86.70 mA
4.90 V,308.00 mW,71.20 mA
4.90 V,350.00 mW,71.20 mA
4.89 V,348.00 mW,70.50 mA
4.89 V,350.00 mW,70.80 mA
4.89 V,348.00 mW,70.70 mA
4.86 V,412.00 mW,86.00 mA
4.90 V,308.00 mW,70.50 mA
4.89 V,344.00 mW,70.90 mA
4.90 V,348.00 mW,71.40 mA
4.90 V,348.00 mW,70.60 mA
4.90 V,348.00 mW,70.60 mA
4.73 V,684.00 mW,145.30 mA
4.90 V,312.00 mW,71.00 mA
4.89 V,350.00 mW,71.20 mA
4.89 V,348.00 mW,70.50 mA
4.90 V,350.00 mW,70.80 mA
4.89 V,344.00 mW,71.10 mA
4.86 V,406.00 mW,86.10 mA
4.90 V,308.00 mW,70.50 mA
4.90 V,348.00 mW,70.50 mA
4.89 V,348.00 mW,71.10 mA
4.89 V,344.00 mW,70.60 mA
4.89 V,348.00 mW,70.60 mA
4.86 V,420.00 mW,86.90 mA
4.90 V,308.00 mW,70.80 mA
4.89 V,348.00 mW,70.70 mA
4.89 V,348.00 mW,70.30 mA
4.89 V,348.00 mW,71.40 mA
4.89 V,344.00 mW,70.70 mA
4.86 V,416.00 mW,86.10 mA
4.90 V,308.00 mW,70.50 mA
4.90 V,344.00 mW,70.60 mA
4.89 V,344.00 mW,71.20 mA
4.90 V,344.00 mW,70.40 mA
4.89 V,348.00 mW,70.50 mA
4.86 V,420.00 mW,86.50 mA
4.90 V,308.00 mW,71.30 mA
4.89 V,348.00 mW,70.90 mA
4.89 V,348.00 mW,70.50 mA
4.89 V,348.00 mW,71.10 mA
4.89 V,344.00 mW,70.60 mA
4.86 V,416.00 mW,85.80 mA
4.90 V,308.00 mW,70.30 mA
4.89 V,344.00 mW,71.00 mA
4.89 V,348.00 mW,71.10 mA
4.89 V,344.00 mW,70.60 mA
4.89 V,348.00 mW,70.70 mA
4.86 V,420.00 mW,86.70 mA
4.90 V,312.00 mW,71.00 mA
4.89 V,348.00 mW,70.90 mA
4.89 V,348.00 mW,70.50 mA
4.89 V,348.00 mW,71.10 mA
4.89 V,344.00 mW,70.70 mA
4.86 V,420.00 mW,86.00 mA
4.90 V,308.00 mW,70.30 mA
4.89 V,344.00 mW,70.60 mA
4.90 V,344.00 mW,70.90 mA
4.90 V,344.00 mW,70.50 mA
4.89 V,348.00 mW,70.50 mA
4.86 V,420.00 mW,86.50 mA
4.90 V,308.00 mW,70.90 mA
4.89 V,348.00 mW,70.80 mA
4.89 V,348.00 mW,70.60 mA
4.89 V,348.00 mW,70.80 mA
4.89 V,344.00 mW,70.50 mA
4.86 V,416.00 mW,86.00 mA
4.90 V,308.00 mW,70.50 mA
4.89 V,344.00 mW,70.30 mA
4.89 V,344.00 mW,70.60 mA
4.89 V,344.00 mW,70.20 mA
4.89 V,348.00 mW,70.80 mA
4.86 V,416.00 mW,86.50 mA
4.89 V,308.00 mW,70.80 mA
4.89 V,344.00 mW,70.80 mA
4.89 V,348.00 mW,70.60 mA
4.89 V,344.00 mW,71.10 mA
4.89 V,344.00 mW,70.60 mA
4.86 V,416.00 mW,86.00 mA
4.89 V,308.00 mW,70.40 mA
4.89 V,344.00 mW,70.30 mA
4.89 V,344.00 mW,70.70 mA
4.89 V,344.00 mW,70.20 mA
4.89 V,348.00 mW,70.50 mA
4.86 V,416.00 mW,86.20 mA
4.89 V,304.00 mW,70.60 mA
4.89 V,348.00 mW,71.30 mA
4.89 V,348.00 mW,70.70 mA
4.89 V,348.00 mW,70.70 mA
4.89 V,344.00 mW,70.50 mA
4.86 V,420.00 mW,85.90 mA
4.89 V,312.00 mW,70.70 mA
4.89 V,344.00 mW,70.30 mA
4.89 V,344.00 mW,71.00 mA
4.89 V,344.00 mW,70.30 mA
4.89 V,348.00 mW,70.70 mA
4.86 V,416.00 mW,86.40 mA
4.89 V,308.00 mW,70.50 mA
4.89 V,348.00 mW,70.80 mA
4.89 V,348.00 mW,70.70 mA
4.89 V,348.00 mW,70.80 mA
4.89 V,344.00 mW,70.50 mA
4.86 V,416.00 mW,86.20 mA
4.89 V,312.00 mW,70.90 mA
4.89 V,344.00 mW,70.30 mA
4.89 V,344.00 mW,70.50 mA
4.89 V,344.00 mW,70.40 mA
4.89 V,344.00 mW,71.00 mA
4.86 V,416.00 mW,86.30 mA
4.89 V,304.00 mW,70.40 mA
4.89 V,348.00 mW,70.90 mA
4.89 V,348.00 mW,70.90 mA
4.89 V,344.00 mW,70.80 mA
4.89 V,344.00 mW,70.30 mA
4.86 V,416.00 mW,86.10 mA
4.89 V,312.00 mW,70.60 mA
4.89 V,344.00 mW,70.40 mA
4.89 V,344.00 mW,70.40 mA
4.89 V,348.00 mW,70.30 mA
4.89 V,344.00 mW,70.60 mA
4.73 V,682.00 mW,144.50 mA
4.89 V,308.00 mW,70.30 mA
4.89 V,344.00 mW,70.50 mA
4.89 V,348.00 mW,70.80 mA
4.89 V,344.00 mW,70.40 mA
