Bus Voltage,Power,Current
4.92 V,340.00 mW,76.40 mA
4.91 V,376.00 mW,76.30 mA
4.92 V,376.00 mW,76.20 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.30 mA
4.80 V,702.00 mW,145.10 mA
4.92 V,334.00 mW,76.10 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.00 mA
4.88 V,462.00 mW,94.80 mA
4.92 V,338.00 mW,76.50 mA
4.91 V,374.00 mW,76.60 mA
4.91 V,376.00 mW,76.50 mA
4.91 V,376.00 mW,77.00 mA
4.92 V,376.00 mW,76.40 mA
4.80 V,704.00 mW,147.40 mA
4.92 V,338.00 mW,76.30 mA
4.92 V,376.00 mW,76.00 mA
4.92 V,376.00 mW,76.40 mA
4.92 V,376.00 mW,76.10 mA
4.91 V,374.00 mW,76.20 mA
4.80 V,704.00 mW,147.10 mA
4.92 V,338.00 mW,76.30 mA
4.91 V,376.00 mW,76.60 mA
4.91 V,376.00 mW,76.30 mA
4.92 V,376.00 mW,76.40 mA
4.92 V,374.00 mW,75.90 mA
4.80 V,704.00 mW,145.20 mA
4.92 V,338.00 mW,76.40 mA
4.92 V,376.00 mW,76.30 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,376.00 mW,76.40 mA
4.80 V,698.00 mW,145.20 mA
4.92 V,338.00 mW,76.00 mA
4.92 V,376.00 mW,76.50 mA
4.91 V,376.00 mW,76.50 mA
4.91 V,374.00 mW,76.60 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,704.00 mW,145.50 mA
4.92 V,338.00 mW,76.40 mA
4.92 V,376.00 mW,76.40 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,376.00 mW,76.10 mA
4.92 V,376.00 mW,76.20 mA
4.80 V,702.00 mW,147.10 mA
4.92 V,338.00 mW,76.50 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,376.00 mW,76.40 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.20 mA
4.80 V,702.00 mW,145.10 mA
4.92 V,338.00 mW,76.50 mA
4.91 V,376.00 mW,76.10 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,698.00 mW,145.00 mA
4.92 V,334.00 mW,76.10 mA
4.91 V,376.00 mW,76.40 mA
4.91 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.79 V,704.00 mW,147.10 mA
4.92 V,338.00 mW,76.40 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,376.00 mW,76.50 mA
4.92 V,374.00 mW,75.90 mA
4.80 V,704.00 mW,146.80 mA
4.92 V,338.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.91 V,376.00 mW,76.40 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.00 mA
4.80 V,704.00 mW,145.30 mA
4.91 V,338.00 mW,76.20 mA
4.92 V,374.00 mW,76.50 mA
4.91 V,374.00 mW,76.30 mA
4.92 V,376.00 mW,76.30 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,694.00 mW,144.80 mA
4.92 V,338.00 mW,76.10 mA
4.92 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.30 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.20 mA
4.80 V,704.00 mW,145.30 mA
4.92 V,338.00 mW,76.30 mA
4.92 V,376.00 mW,76.20 mA
4.92 V,376.00 mW,76.30 mA
4.92 V,376.00 mW,76.30 mA
4.91 V,374.00 mW,76.10 mA
4.80 V,702.00 mW,147.10 mA
4.92 V,338.00 mW,76.20 mA
4.91 V,376.00 mW,76.20 mA
4.92 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,75.80 mA
4.92 V,376.00 mW,76.10 mA
4.80 V,702.00 mW,145.40 mA
4.92 V,338.00 mW,76.20 mA
4.92 V,374.00 mW,76.40 mA
4.91 V,374.00 mW,76.20 mA
4.92 V,376.00 mW,76.50 mA
4.92 V,374.00 mW,75.90 mA
4.80 V,704.00 mW,147.00 mA
4.92 V,338.00 mW,76.30 mA
4.91 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.30 mA
4.91 V,376.00 mW,76.20 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,704.00 mW,147.10 mA
4.92 V,338.00 mW,76.10 mA
4.92 V,374.00 mW,76.70 mA
4.92 V,376.00 mW,76.10 mA
4.92 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,75.90 mA
4.80 V,704.00 mW,147.00 mA
4.92 V,338.00 mW,76.30 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.30 mA
4.80 V,704.00 mW,145.10 mA
4.92 V,334.00 mW,76.10 mA
4.92 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,75.70 mA
4.80 V,704.00 mW,147.20 mA
4.92 V,338.00 mW,76.40 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,376.00 mW,76.40 mA
4.91 V,374.00 mW,76.20 mA
4.80 V,704.00 mW,145.00 mA
4.92 V,340.00 mW,76.30 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,376.00 mW,76.20 mA
4.92 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.20 mA
4.80 V,694.00 mW,145.60 mA
4.92 V,338.00 mW,76.10 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,376.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.80 V,704.00 mW,146.90 mA
4.92 V,338.00 mW,75.80 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,704.00 mW,147.40 mA
4.92 V,338.00 mW,76.20 mA
4.92 V,376.00 mW,76.40 mA
4.92 V,376.00 mW,76.10 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.00 mA
4.80 V,704.00 mW,145.20 mA
4.92 V,338.00 mW,76.40 mA
4.92 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,376.00 mW,76.30 mA
4.80 V,694.00 mW,145.30 mA
4.92 V,338.00 mW,75.90 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.00 mA
4.80 V,704.00 mW,144.90 mA
4.92 V,338.00 mW,76.20 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,376.00 mW,76.50 mA
4.92 V,374.00 mW,76.30 mA
4.80 V,702.00 mW,146.90 mA
4.92 V,338.00 mW,76.40 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,75.80 mA
4.80 V,704.00 mW,147.10 mA
4.92 V,338.00 mW,76.10 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.40 mA
4.88 V,452.00 mW,93.90 mA
4.92 V,338.00 mW,76.30 mA
4.92 V,376.00 mW,76.60 mA
4.92 V,376.00 mW,76.70 mA
4.92 V,376.00 mW,76.10 mA
4.92 V,376.00 mW,76.40 mA
4.80 V,702.00 mW,145.90 mA
4.92 V,334.00 mW,76.10 mA
4.92 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.00 mA
4.80 V,704.00 mW,146.90 mA
4.92 V,338.00 mW,76.40 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.20 mA
4.91 V,376.00 mW,76.20 mA
4.80 V,704.00 mW,145.30 mA
4.92 V,338.00 mW,76.20 mA
4.92 V,376.00 mW,76.40 mA
4.92 V,376.00 mW,76.20 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,75.90 mA
4.80 V,704.00 mW,147.10 mA
4.92 V,338.00 mW,76.20 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,376.00 mW,75.90 mA
4.92 V,374.00 mW,76.30 mA
4.80 V,704.00 mW,145.30 mA
4.92 V,338.00 mW,76.10 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,376.00 mW,76.20 mA
4.91 V,374.00 mW,76.40 mA
4.91 V,374.00 mW,75.80 mA
4.80 V,704.00 mW,146.90 mA
4.92 V,340.00 mW,76.30 mA
4.92 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.30 mA
4.88 V,458.00 mW,92.70 mA
4.92 V,338.00 mW,76.30 mA
4.92 V,376.00 mW,76.70 mA
4.92 V,376.00 mW,76.90 mA
4.92 V,376.00 mW,76.50 mA
4.91 V,374.00 mW,76.30 mA
4.80 V,704.00 mW,147.40 mA
4.92 V,340.00 mW,76.10 mA
4.92 V,376.00 mW,76.30 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,702.00 mW,145.10 mA
4.92 V,334.00 mW,76.30 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,75.80 mA
4.80 V,698.00 mW,145.70 mA
4.92 V,338.00 mW,76.20 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,75.70 mA
4.92 V,376.00 mW,76.30 mA
4.92 V,374.00 mW,76.30 mA
4.80 V,704.00 mW,146.40 mA
4.91 V,338.00 mW,75.90 mA
4.92 V,374.00 mW,75.70 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,75.90 mA
4.91 V,374.00 mW,75.90 mA
4.80 V,702.00 mW,146.50 mA
4.92 V,338.00 mW,75.90 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,75.70 mA
4.80 V,702.00 mW,144.60 mA
4.92 V,338.00 mW,75.90 mA
4.92 V,374.00 mW,75.80 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,75.90 mA
4.88 V,448.00 mW,92.60 mA
4.92 V,338.00 mW,76.40 mA
4.91 V,376.00 mW,76.40 mA
4.92 V,376.00 mW,76.20 mA
4.91 V,376.00 mW,76.90 mA
4.92 V,374.00 mW,76.20 mA
4.80 V,702.00 mW,145.00 mA
4.92 V,338.00 mW,76.00 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.10 mA
4.80 V,692.00 mW,144.60 mA
4.92 V,340.00 mW,76.00 mA
4.92 V,374.00 mW,76.20 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,75.50 mA
4.80 V,698.00 mW,144.20 mA
4.92 V,338.00 mW,75.80 mA
4.92 V,374.00 mW,75.70 mA
4.92 V,374.00 mW,75.70 mA
4.92 V,374.00 mW,75.50 mA
4.92 V,374.00 mW,75.70 mA
4.80 V,702.00 mW,145.90 mA
4.92 V,338.00 mW,75.70 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,370.00 mW,75.70 mA
4.80 V,702.00 mW,144.70 mA
4.92 V,338.00 mW,75.80 mA
4.92 V,374.00 mW,75.80 mA
4.92 V,370.00 mW,76.00 mA
4.92 V,374.00 mW,75.80 mA
4.92 V,374.00 mW,75.90 mA
4.80 V,702.00 mW,146.40 mA
4.91 V,338.00 mW,76.00 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.30 mA
4.91 V,374.00 mW,75.80 mA
4.89 V,462.00 mW,92.30 mA
4.92 V,338.00 mW,76.10 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.00 mA
4.80 V,702.00 mW,146.60 mA
4.92 V,338.00 mW,75.70 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.00 mA
4.92 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,75.90 mA
4.79 V,702.00 mW,146.30 mA
4.92 V,338.00 mW,75.90 mA
4.92 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,75.80 mA
4.92 V,374.00 mW,75.70 mA
