Bus Voltage,Power,Current
4.92 V,328.00 mW,72.70 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,72.60 mA
4.89 V,420.00 mW,88.60 mA
4.92 V,324.00 mW,73.00 mA
4.92 V,360.00 mW,72.90 mA
4.92 V,358.00 mW,73.20 mA
4.92 V,360.00 mW,73.30 mA
4.91 V,360.00 mW,73.60 mA
4.89 V,430.00 mW,88.00 mA
4.92 V,318.00 mW,73.40 mA
4.92 V,360.00 mW,73.60 mA
4.91 V,364.00 mW,73.60 mA
4.92 V,360.00 mW,73.80 mA
4.91 V,360.00 mW,73.30 mA
4.89 V,440.00 mW,88.10 mA
4.92 V,322.00 mW,73.50 mA
4.91 V,360.00 mW,73.10 mA
4.91 V,358.00 mW,73.50 mA
4.91 V,360.00 mW,73.20 mA
4.91 V,360.00 mW,73.50 mA
4.89 V,430.00 mW,88.20 mA
4.92 V,318.00 mW,73.30 mA
4.91 V,364.00 mW,73.70 mA
4.91 V,360.00 mW,73.60 mA
4.91 V,360.00 mW,73.60 mA
4.91 V,360.00 mW,72.90 mA
4.88 V,440.00 mW,88.40 mA
4.92 V,322.00 mW,73.40 mA
4.91 V,360.00 mW,73.00 mA
4.91 V,360.00 mW,73.30 mA
4.91 V,360.00 mW,73.30 mA
4.91 V,364.00 mW,73.70 mA
4.88 V,430.00 mW,88.30 mA
4.91 V,318.00 mW,73.40 mA
4.91 V,360.00 mW,73.70 mA
4.91 V,360.00 mW,73.90 mA
4.91 V,360.00 mW,73.80 mA
4.91 V,358.00 mW,73.30 mA
4.88 V,436.00 mW,88.40 mA
4.91 V,322.00 mW,73.50 mA
4.91 V,360.00 mW,73.10 mA
4.91 V,360.00 mW,73.70 mA
4.91 V,360.00 mW,73.30 mA
4.90 V,360.00 mW,73.50 mA
4.88 V,430.00 mW,87.80 mA
4.91 V,318.00 mW,73.20 mA
4.91 V,360.00 mW,73.60 mA
4.90 V,360.00 mW,73.50 mA
4.91 V,358.00 mW,73.30 mA
4.91 V,358.00 mW,73.10 mA
4.88 V,436.00 mW,90.20 mA
4.90 V,322.00 mW,73.10 mA
4.90 V,360.00 mW,73.30 mA
4.91 V,358.00 mW,73.10 mA
4.90 V,360.00 mW,73.00 mA
4.90 V,360.00 mW,73.50 mA
4.88 V,430.00 mW,87.90 mA
4.91 V,318.00 mW,72.80 mA
4.90 V,360.00 mW,73.20 mA
4.90 V,360.00 mW,73.40 mA
4.90 V,360.00 mW,73.10 mA
4.90 V,358.00 mW,72.90 mA
4.87 V,432.00 mW,89.50 mA
4.90 V,322.00 mW,73.10 mA
4.90 V,358.00 mW,73.00 mA
4.90 V,358.00 mW,72.80 mA
4.90 V,360.00 mW,72.80 mA
4.90 V,360.00 mW,73.30 mA
4.88 V,430.00 mW,87.60 mA
4.90 V,314.00 mW,72.70 mA
