Bus Voltage,Power,Current
4.92 V,330.00 mW,75.50 mA
4.91 V,370.00 mW,75.50 mA
4.91 V,370.00 mW,75.70 mA
4.91 V,370.00 mW,75.60 mA
4.91 V,370.00 mW,75.50 mA
4.88 V,456.00 mW,92.20 mA
4.92 V,330.00 mW,75.20 mA
4.91 V,370.00 mW,75.70 mA
4.91 V,370.00 mW,75.70 mA
4.92 V,370.00 mW,75.80 mA
4.91 V,370.00 mW,75.40 mA
4.88 V,452.00 mW,91.30 mA
4.92 V,334.00 mW,75.80 mA
4.91 V,374.00 mW,75.60 mA
4.92 V,370.00 mW,75.40 mA
4.91 V,374.00 mW,75.80 mA
4.91 V,374.00 mW,75.70 mA
4.88 V,458.00 mW,93.40 mA
4.92 V,330.00 mW,75.70 mA
4.91 V,370.00 mW,76.10 mA
4.92 V,374.00 mW,76.40 mA
4.91 V,370.00 mW,76.00 mA
4.91 V,374.00 mW,75.60 mA
4.89 V,458.00 mW,91.80 mA
4.92 V,334.00 mW,76.00 mA
4.92 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,75.80 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,75.80 mA
4.88 V,458.00 mW,93.60 mA
4.91 V,334.00 mW,76.00 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.10 mA
4.88 V,458.00 mW,94.30 mA
4.91 V,334.00 mW,76.20 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,75.90 mA
4.92 V,374.00 mW,76.50 mA
4.91 V,374.00 mW,76.00 mA
4.89 V,448.00 mW,91.50 mA
4.91 V,334.00 mW,76.20 mA
4.92 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,75.90 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.20 mA
4.78 V,734.00 mW,151.90 mA
4.92 V,334.00 mW,75.70 mA
4.91 V,370.00 mW,76.10 mA
4.91 V,374.00 mW,75.80 mA
4.91 V,370.00 mW,76.00 mA
4.91 V,370.00 mW,75.50 mA
4.88 V,446.00 mW,91.70 mA
4.91 V,338.00 mW,76.40 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.40 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.40 mA
4.88 V,458.00 mW,92.00 mA
4.91 V,334.00 mW,75.70 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.40 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,75.60 mA
4.88 V,446.00 mW,92.00 mA
4.91 V,338.00 mW,76.20 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.10 mA
4.92 V,374.00 mW,76.10 mA
4.88 V,456.00 mW,91.60 mA
4.91 V,334.00 mW,75.80 mA
4.91 V,374.00 mW,75.80 mA
4.91 V,374.00 mW,76.30 mA
4.91 V,370.00 mW,76.00 mA
4.91 V,374.00 mW,75.80 mA
4.78 V,724.00 mW,151.70 mA
4.91 V,334.00 mW,75.70 mA
4.91 V,374.00 mW,75.80 mA
4.91 V,374.00 mW,75.60 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,75.80 mA
4.88 V,452.00 mW,93.80 mA
4.92 V,334.00 mW,75.60 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.00 mA
4.88 V,442.00 mW,92.30 mA
4.91 V,334.00 mW,75.80 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,75.70 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,370.00 mW,76.00 mA
4.88 V,452.00 mW,91.80 mA
4.91 V,334.00 mW,76.20 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,75.70 mA
4.91 V,374.00 mW,76.20 mA
4.88 V,442.00 mW,91.80 mA
4.92 V,340.00 mW,76.30 mA
4.91 V,374.00 mW,76.40 mA
4.92 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,370.00 mW,75.70 mA
4.88 V,448.00 mW,92.40 mA
4.91 V,340.00 mW,76.20 mA
4.91 V,370.00 mW,75.70 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,75.90 mA
4.91 V,374.00 mW,76.00 mA
4.88 V,448.00 mW,94.00 mA
4.92 V,334.00 mW,75.90 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,75.90 mA
4.91 V,370.00 mW,76.10 mA
4.88 V,448.00 mW,91.60 mA
4.91 V,334.00 mW,75.90 mA
4.91 V,374.00 mW,76.00 mA
4.91 V,374.00 mW,75.80 mA
4.91 V,376.00 mW,76.10 mA
4.91 V,374.00 mW,76.30 mA
4.88 V,446.00 mW,91.60 mA
4.92 V,334.00 mW,75.70 mA
4.91 V,374.00 mW,76.20 mA
4.91 V,374.00 mW,76.10 mA
4.92 V,370.00 mW,75.90 mA
4.91 V,374.00 mW,75.80 mA
4.88 V,458.00 mW,91.90 mA
4.92 V,338.00 mW,76.20 mA
4.91 V,374.00 mW,76.40 mA
4.91 V,374.00 mW,75.90 mA
4.91 V,374.00 mW,76.30 mA
4.91 V,374.00 mW,75.80 mA
4.88 V,458.00 mW,93.90 mA
4.92 V,334.00 mW,75.80 mA
4.92 V,374.00 mW,75.80 mA
4.91 V,374.00 mW,76.30 mA
4.92 V,374.00 mW,76.10 mA
4.91 V,374.00 mW,76.10 mA
4.78 V,730.00 mW,151.60 mA
4.91 V,334.00 mW,75.60 mA
4.92 V,374.00 mW,75.90 mA
4.91 V,370.00 mW,75.60 mA
4.92 V,374.00 mW,75.80 mA
4.92 V,370.00 mW,75.20 mA
4.89 V,448.00 mW,91.30 mA
4.91 V,334.00 mW,76.20 mA
4.91 V,374.00 mW,75.90 mA
4.91 V,374.00 mW,75.70 mA
4.91 V,374.00 mW,75.90 mA
4.91 V,374.00 mW,76.20 mA
4.78 V,720.00 mW,151.50 mA
4.91 V,334.00 mW,75.40 mA
