Bus Voltage,Power,Current
4.75 V,266.00 mW,61.30 mA
4.74 V,292.00 mW,61.40 mA
4.74 V,292.00 mW,61.60 mA
4.74 V,292.00 mW,61.40 mA
4.25 V,620.00 mW,145.90 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.30 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,145.80 mA
4.24 V,620.00 mW,145.90 mA
4.24 V,620.00 mW,146.20 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.20 mA
4.24 V,620.00 mW,145.60 mA
4.24 V,620.00 mW,146.60 mA
4.24 V,620.00 mW,146.20 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.20 mA
4.24 V,620.00 mW,146.30 mA
4.24 V,620.00 mW,146.40 mA
4.24 V,622.00 mW,146.20 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.00 mA
4.25 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.50 mA
4.24 V,620.00 mW,146.20 mA
4.24 V,620.00 mW,146.00 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.00 mA
4.24 V,620.00 mW,146.30 mA
4.24 V,620.00 mW,146.00 mA
4.24 V,620.00 mW,145.90 mA
4.24 V,620.00 mW,146.40 mA
4.24 V,620.00 mW,146.00 mA
4.24 V,620.00 mW,146.30 mA
4.24 V,620.00 mW,146.40 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,622.00 mW,146.00 mA
4.24 V,622.00 mW,146.20 mA
4.25 V,620.00 mW,145.90 mA
4.24 V,620.00 mW,146.20 mA
4.24 V,620.00 mW,146.00 mA
4.24 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.00 mA
4.24 V,620.00 mW,145.80 mA
4.24 V,620.00 mW,145.90 mA
4.25 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.50 mA
4.25 V,620.00 mW,146.10 mA
4.24 V,620.00 mW,146.70 mA
4.24 V,620.00 mW,146.30 mA
4.25 V,622.00 mW,146.00 mA
